"","sampleID","actor","subject","crowd","displace","total.DC"
"1","sample001","BBB","GGG",1,1,2
"2","sample001","BBB","RRG",1,0,1
"3","sample001","BBG","BBB",1,1,2
"4","sample001","BBG","BRB",1,1,2
"5","sample001","BBG","GBG",2,1,3
"6","sample001","BBG","GGB",2,2,4
"7","sample001","BBG","GGG",4,4,8
"8","sample001","BBG","GRG",1,3,4
"9","sample001","BBG","RRG",1,0,1
"10","sample001","BGG","RBG",1,0,1
"11","sample001","BGG","RRR",1,0,1
"12","sample001","BRR","BGB",1,0,1
"13","sample001","GBB","BBB",12,6,18
"14","sample001","GBB","BRB",1,2,3
"15","sample001","GBB","BRR",1,1,2
"16","sample001","GBB","GGG",7,9,16
"17","sample001","GBB","GGR",1,1,2
"18","sample001","GBB","RBG",3,0,3
"19","sample001","GBB","RBR",1,0,1
"20","sample001","GBB","RGG",1,0,1
"21","sample001","GBB","RGR",2,0,2
"22","sample001","GBB","RRR",1,0,1
"23","sample001","GBG","BRB",1,2,3
"24","sample001","GBG","BRR",1,0,1
"25","sample001","GBG","GGG",4,3,7
"26","sample001","GBG","RBB",1,0,1
"27","sample001","GBG","RGR",1,1,2
"28","sample001","GBG","RRG",1,1,2
"29","sample001","GGB","BBB",3,1,4
"30","sample001","GGB","BBR",1,1,2
"31","sample001","GGB","BRR",1,5,6
"32","sample001","GGB","GBG",1,0,1
"33","sample001","GGB","GGG",13,5,18
"34","sample001","GGB","RGG",1,0,1
"35","sample001","GGB","RRG",1,1,2
"36","sample001","GGB","RRR",1,1,2
"37","sample001","GGG","BBB",8,3,11
"38","sample001","GGG","BGG",1,2,3
"39","sample001","GGG","BRB",1,0,1
"40","sample001","GGG","GGB",5,0,5
"41","sample001","GGG","GGR",1,1,2
"42","sample001","GGG","RBB",1,1,2
"43","sample001","GGG","RGR",1,2,3
"44","sample001","GGG","RRG",1,1,2
"45","sample001","GGR","BRR",1,0,1
"46","sample001","GGR","GRR",1,0,1
"47","sample001","GRG","BBB",3,0,3
"48","sample001","GRG","GGB",2,2,4
"49","sample001","GRG","GGG",3,1,4
"50","sample001","GRG","RGR",1,0,1
"51","sample001","GRG","RRG",2,1,3
"52","sample001","GRR","BGB",1,0,1
"53","sample001","RBG","BBB",2,0,2
"54","sample001","RBG","RBB",1,1,2
"55","sample001","RBR","BGB",2,0,2
"56","sample001","RBR","BRB",1,0,1
"57","sample001","RBR","BRR",1,0,1
"58","sample001","RBR","GRR",4,0,4
"59","sample001","RBR","RGG",2,3,5
"60","sample001","RBR","RGR",1,0,1
"61","sample001","RGG","BBR",1,0,1
"62","sample001","RGR","BBB",2,0,2
"63","sample001","RGR","BBR",1,0,1
"64","sample001","RGR","BGB",2,0,2
"65","sample001","RGR","BGG",2,1,3
"66","sample001","RGR","BRR",1,0,1
"67","sample001","RGR","GGB",2,2,4
"68","sample001","RGR","RGG",1,0,1
"69","sample001","RRG","BBB",2,5,7
"70","sample001","RRG","BGB",1,1,2
"71","sample001","RRG","BRB",2,13,15
"72","sample001","RRG","BRR",1,1,2
"73","sample001","RRG","GGG",2,4,6
"74","sample001","RRG","GRG",1,0,1
"75","sample001","RRG","GRR",3,3,6
"76","sample001","RRG","RBB",1,0,1
"77","sample001","RRR","BBR",1,0,1
"78","sample001","RRR","BGB",2,1,3
"79","sample001","RRR","BGG",1,0,1
"80","sample001","RRR","BRB",1,0,1
"81","sample001","RRR","BRR",1,0,1
"82","sample001","RRR","RBB",1,1,2
"83","sample001","RRR","RGR",1,0,1
"84","sample001","RRR","RRG",2,0,2
"85","sample001","BBG","GRR",0,1,1
"86","sample001","BBG","RBB",0,1,1
"87","sample001","BBG","RRR",0,1,1
"88","sample001","BGB","BBB",0,1,1
"89","sample001","BGB","RRG",0,1,1
"90","sample001","BRB","BBB",0,3,3
"91","sample001","BRR","BBB",0,1,1
"92","sample001","GBB","GBG",0,1,1
"93","sample001","GBB","GGB",0,2,2
"94","sample001","GBB","GRG",0,1,1
"95","sample001","GBB","RRG",0,1,1
"96","sample001","GBG","BBB",0,1,1
"97","sample001","GBG","GGB",0,1,1
"98","sample001","GGB","BGB",0,3,3
"99","sample001","GGB","GGR",0,2,2
"100","sample001","GGB","GRR",0,1,1
"101","sample001","GGB","RBB",0,1,1
"102","sample001","GGG","GRR",0,2,2
"103","sample001","GGG","RBR",0,5,5
"104","sample001","GGG","RRR",0,1,1
"105","sample001","GGR","BBB",0,1,1
"106","sample001","GGR","BBR",0,1,1
"107","sample001","GRG","GBG",0,1,1
"108","sample001","GRG","GGR",0,1,1
"109","sample001","GRG","RBG",0,1,1
"110","sample001","GRG","RBR",0,1,1
"111","sample001","GRR","BGG",0,2,2
"112","sample001","GRR","BRB",0,1,1
"113","sample001","GRR","BRR",0,1,1
"114","sample001","RBG","GRR",0,1,1
"115","sample001","RBG","RBR",0,1,1
"116","sample001","RBR","BBB",0,3,3
"117","sample001","RBR","GGB",0,2,2
"118","sample001","RGG","GGG",0,1,1
"119","sample001","RGG","GGR",0,1,1
"120","sample001","RGG","GRR",0,3,3
"121","sample001","RGR","GGR",0,1,1
"122","sample001","RGR","RRG",0,3,3
"123","sample002","BBB","GGG",1,1,2
"124","sample002","BBB","RRG",1,0,1
"125","sample002","BBG","BBB",1,1,2
"126","sample002","BBG","BRB",1,4,5
"127","sample002","BBG","GBG",2,1,3
"128","sample002","BBG","GGB",2,4,6
"129","sample002","BBG","GGG",4,9,13
"130","sample002","BBG","GRG",1,2,3
"131","sample002","BBG","RRG",1,0,1
"132","sample002","BGG","RBG",1,0,1
"133","sample002","BGG","RRR",1,0,1
"134","sample002","BRR","BGB",1,0,1
"135","sample002","GBB","BBB",12,7,19
"136","sample002","GBB","BRB",1,1,2
"137","sample002","GBB","BRR",1,1,2
"138","sample002","GBB","GGG",7,10,17
"139","sample002","GBB","GGR",1,0,1
"140","sample002","GBB","RBG",3,3,6
"141","sample002","GBB","RBR",1,0,1
"142","sample002","GBB","RGG",1,0,1
"143","sample002","GBB","RGR",2,0,2
"144","sample002","GBB","RRR",1,3,4
"145","sample002","GBG","BRB",1,0,1
"146","sample002","GBG","BRR",1,0,1
"147","sample002","GBG","GGG",4,1,5
"148","sample002","GBG","RBB",1,0,1
"149","sample002","GBG","RGR",1,0,1
"150","sample002","GBG","RRG",1,0,1
"151","sample002","GGB","BBB",3,2,5
"152","sample002","GGB","BBR",1,0,1
"153","sample002","GGB","BRR",1,2,3
"154","sample002","GGB","GBG",1,0,1
"155","sample002","GGB","GGG",13,9,22
"156","sample002","GGB","RGG",1,1,2
"157","sample002","GGB","RRG",1,1,2
"158","sample002","GGB","RRR",1,0,1
"159","sample002","GGG","BBB",8,6,14
"160","sample002","GGG","BGG",1,2,3
"161","sample002","GGG","BRB",1,0,1
"162","sample002","GGG","GGB",5,0,5
"163","sample002","GGG","GGR",1,2,3
"164","sample002","GGG","RBB",1,2,3
"165","sample002","GGG","RGR",1,2,3
"166","sample002","GGG","RRG",1,3,4
"167","sample002","GGR","BRR",1,0,1
"168","sample002","GGR","GRR",1,0,1
"169","sample002","GRG","BBB",3,3,6
"170","sample002","GRG","GGB",2,2,4
"171","sample002","GRG","GGG",3,1,4
"172","sample002","GRG","RGR",1,0,1
"173","sample002","GRG","RRG",2,0,2
"174","sample002","GRR","BGB",1,0,1
"175","sample002","RBG","BBB",2,1,3
"176","sample002","RBG","RBB",1,0,1
"177","sample002","RBR","BGB",2,1,3
"178","sample002","RBR","BRB",1,0,1
"179","sample002","RBR","BRR",1,1,2
"180","sample002","RBR","GRR",4,0,4
"181","sample002","RBR","RGG",2,0,2
"182","sample002","RBR","RGR",1,0,1
"183","sample002","RGG","BBR",1,0,1
"184","sample002","RGR","BBB",2,0,2
"185","sample002","RGR","BBR",1,0,1
"186","sample002","RGR","BGB",2,0,2
"187","sample002","RGR","BGG",2,0,2
"188","sample002","RGR","BRR",1,0,1
"189","sample002","RGR","GGB",2,1,3
"190","sample002","RGR","RGG",1,0,1
"191","sample002","RRG","BBB",2,6,8
"192","sample002","RRG","BGB",1,0,1
"193","sample002","RRG","BRB",2,9,11
"194","sample002","RRG","BRR",1,1,2
"195","sample002","RRG","GGG",2,3,5
"196","sample002","RRG","GRG",1,0,1
"197","sample002","RRG","GRR",3,3,6
"198","sample002","RRG","RBB",1,0,1
"199","sample002","RRR","BBR",1,0,1
"200","sample002","RRR","BGB",2,0,2
"201","sample002","RRR","BGG",1,0,1
"202","sample002","RRR","BRB",1,0,1
"203","sample002","RRR","BRR",1,0,1
"204","sample002","RRR","RBB",1,0,1
"205","sample002","RRR","RGR",1,0,1
"206","sample002","RRR","RRG",2,0,2
"207","sample002","BBG","BGG",0,1,1
"208","sample002","BBG","GBB",0,1,1
"209","sample002","BBG","RBG",0,1,1
"210","sample002","BBG","RGR",0,1,1
"211","sample002","BGB","RRG",0,1,1
"212","sample002","BGG","BBB",0,1,1
"213","sample002","BGG","RGG",0,1,1
"214","sample002","BGG","RGR",0,1,1
"215","sample002","BRB","BBB",0,2,2
"216","sample002","BRB","BRR",0,1,1
"217","sample002","BRB","RBB",0,1,1
"218","sample002","BRB","RBG",0,1,1
"219","sample002","BRR","BBB",0,2,2
"220","sample002","GBB","GGB",0,4,4
"221","sample002","GBB","GRG",0,2,2
"222","sample002","GBB","RBB",0,1,1
"223","sample002","GBG","BBB",0,2,2
"224","sample002","GBG","BBR",0,1,1
"225","sample002","GGB","GGR",0,3,3
"226","sample002","GGB","GRR",0,1,1
"227","sample002","GGB","RBG",0,1,1
"228","sample002","GGB","RGR",0,1,1
"229","sample002","GGG","BRR",0,2,2
"230","sample002","GGG","RBG",0,1,1
"231","sample002","GGG","RBR",0,1,1
"232","sample002","GGR","RBB",0,1,1
"233","sample002","GRG","BRB",0,1,1
"234","sample002","RBB","BRB",0,1,1
"235","sample002","RBG","RBR",0,1,1
"236","sample002","RBR","BBB",0,1,1
"237","sample002","RBR","GGB",0,1,1
"238","sample002","RBR","RBB",0,1,1
"239","sample002","RGG","BBB",0,1,1
"240","sample002","RGG","GRR",0,3,3
"241","sample002","RGR","GGG",0,1,1
"242","sample002","RRG","RGG",0,1,1
"243","sample003","BBB","GGG",1,0,1
"244","sample003","BBB","RRG",1,0,1
"245","sample003","BBG","BBB",1,0,1
"246","sample003","BBG","BRB",1,4,5
"247","sample003","BBG","GBG",2,4,6
"248","sample003","BBG","GGB",2,2,4
"249","sample003","BBG","GGG",4,4,8
"250","sample003","BBG","GRG",1,0,1
"251","sample003","BBG","RRG",1,1,2
"252","sample003","BGG","RBG",1,0,1
"253","sample003","BGG","RRR",1,0,1
"254","sample003","BRR","BGB",1,0,1
"255","sample003","GBB","BBB",12,5,17
"256","sample003","GBB","BRB",1,2,3
"257","sample003","GBB","BRR",1,0,1
"258","sample003","GBB","GGG",7,12,19
"259","sample003","GBB","GGR",1,0,1
"260","sample003","GBB","RBG",3,3,6
"261","sample003","GBB","RBR",1,0,1
"262","sample003","GBB","RGG",1,0,1
"263","sample003","GBB","RGR",2,1,3
"264","sample003","GBB","RRR",1,0,1
"265","sample003","GBG","BRB",1,1,2
"266","sample003","GBG","BRR",1,0,1
"267","sample003","GBG","GGG",4,1,5
"268","sample003","GBG","RBB",1,0,1
"269","sample003","GBG","RGR",1,0,1
"270","sample003","GBG","RRG",1,1,2
"271","sample003","GGB","BBB",3,0,3
"272","sample003","GGB","BBR",1,0,1
"273","sample003","GGB","BRR",1,4,5
"274","sample003","GGB","GBG",1,0,1
"275","sample003","GGB","GGG",13,3,16
"276","sample003","GGB","RGG",1,1,2
"277","sample003","GGB","RRG",1,2,3
"278","sample003","GGB","RRR",1,1,2
