"","actor","subject","date","crowd","displace","total.DC"
"334","BBB","GGG","2020-03-27",1,2,3
"335","BBB","GRR","2020-03-27",0,2,2
"336","BBB","RRG","2020-03-27",0,2,2
"337","BBG","BBB","2020-03-27",0,2,2
"338","BBG","BGG","2020-03-27",0,1,1
"339","BBG","BRB","2020-03-27",0,4,4
"340","BBG","GBG","2020-03-27",0,3,3
"341","BBG","GGB","2020-03-27",1,10,11
"342","BBG","GGG","2020-03-27",1,10,11
"343","BBG","GRG","2020-03-27",0,2,2
"344","BBG","GRR","2020-03-27",0,1,1
"345","BBG","RBB","2020-03-27",0,1,1
"346","BBG","RRR","2020-03-27",0,2,2
"347","BGB","BBB","2020-03-27",0,2,2
"348","BGB","RRG","2020-03-27",0,1,1
"349","BRB","BBB","2020-03-27",0,7,7
"350","BRB","BRR","2020-03-27",0,2,2
"351","BRR","BBB","2020-03-27",0,3,3
"352","BRR","BGB","2020-03-27",0,1,1
"353","BRR","BGG","2020-03-27",0,1,1
"354","BRR","BRB","2020-03-27",0,1,1
"355","BRR","RBB","2020-03-27",0,1,1
"356","GBB","BBB","2020-03-27",1,9,10
"357","GBB","BGG","2020-03-27",0,1,1
"358","GBB","BRB","2020-03-27",1,3,4
"359","GBB","GGB","2020-03-27",0,13,13
"360","GBB","GGG","2020-03-27",3,47,50
"361","GBB","GGR","2020-03-27",0,1,1
"362","GBB","GRG","2020-03-27",0,1,1
"363","GBB","GRR","2020-03-27",0,1,1
"364","GBB","RBB","2020-03-27",0,1,1
"365","GBB","RGR","2020-03-27",0,1,1
"366","GBB","RRG","2020-03-27",0,2,2
"367","GBG","BBB","2020-03-27",0,2,2
"368","GBG","BBR","2020-03-27",0,1,1
"369","GBG","BRB","2020-03-27",0,1,1
"370","GBG","GGG","2020-03-27",0,1,1
"371","GBG","RBB","2020-03-27",1,0,1
"372","GBG","RGG","2020-03-27",0,1,1
"373","GBG","RGR","2020-03-27",0,1,1
"374","GBG","RRG","2020-03-27",0,1,1
"375","GGB","BBB","2020-03-27",0,7,7
"376","GGB","BBR","2020-03-27",0,1,1
"377","GGB","BGG","2020-03-27",0,1,1
"378","GGB","BRR","2020-03-27",0,2,2
"379","GGB","GBB","2020-03-27",0,1,1
"380","GGB","GGG","2020-03-27",6,20,26
"381","GGB","GGR","2020-03-27",0,1,1
"382","GGB","GRR","2020-03-27",0,2,2
"383","GGB","RBB","2020-03-27",0,1,1
"384","GGB","RBR","2020-03-27",0,4,4
"385","GGB","RGG","2020-03-27",0,1,1
"386","GGB","RGR","2020-03-27",0,1,1
"387","GGB","RRG","2020-03-27",0,3,3
"388","GGB","RRR","2020-03-27",0,1,1
"389","GGG","BBB","2020-03-27",4,22,26
"390","GGG","BGB","2020-03-27",0,1,1
"391","GGG","BGG","2020-03-27",1,3,4
"392","GGG","BRB","2020-03-27",0,2,2
"393","GGG","BRR","2020-03-27",0,4,4
"394","GGG","GGB","2020-03-27",1,1,2
"395","GGG","GGR","2020-03-27",0,4,4
"396","GGG","GRR","2020-03-27",0,1,1
"397","GGG","RBB","2020-03-27",0,2,2
"398","GGG","RBG","2020-03-27",0,3,3
"399","GGG","RBR","2020-03-27",0,16,16
"400","GGG","RGG","2020-03-27",0,1,1
"401","GGG","RGR","2020-03-27",0,5,5
"402","GGG","RRG","2020-03-27",0,18,18
"403","GGG","RRR","2020-03-27",0,1,1
"404","GGR","BBB","2020-03-27",0,1,1
"405","GRG","BBB","2020-03-27",0,1,1
"406","GRG","GGG","2020-03-27",0,2,2
"407","GRG","GGR","2020-03-27",0,1,1
"408","GRG","RBG","2020-03-27",0,1,1
"409","GRG","RRG","2020-03-27",0,1,1
"410","GRR","BGG","2020-03-27",0,1,1
"411","GRR","BRR","2020-03-27",0,1,1
"412","RBB","BRB","2020-03-27",0,1,1
"413","RBG","GRR","2020-03-27",0,3,3
"414","RBG","RBR","2020-03-27",0,1,1
"415","RBG","RGR","2020-03-27",0,1,1
"416","RBR","BBB","2020-03-27",0,6,6
"417","RBR","BGB","2020-03-27",0,2,2
"418","RBR","BRB","2020-03-27",1,0,1
"419","RBR","BRR","2020-03-27",0,1,1
"420","RBR","GGB","2020-03-27",0,5,5
"421","RBR","GRR","2020-03-27",0,2,2
"422","RBR","RBB","2020-03-27",0,1,1
"423","RBR","RGG","2020-03-27",2,6,8
"424","RGG","BBB","2020-03-27",0,2,2
"425","RGG","BBR","2020-03-27",0,1,1
"426","RGG","BRR","2020-03-27",0,4,4
"427","RGG","GGR","2020-03-27",0,2,2
"428","RGG","GRR","2020-03-27",0,7,7
"429","RGR","BBB","2020-03-27",1,1,2
"430","RGR","BBR","2020-03-27",1,0,1
"431","RGR","BGB","2020-03-27",1,3,4
"432","RGR","BGG","2020-03-27",0,1,1
"433","RGR","GGB","2020-03-27",0,4,4
"434","RGR","GGR","2020-03-27",0,1,1
"435","RGR","RGG","2020-03-27",0,1,1
"436","RGR","RRG","2020-03-27",0,2,2
"437","RRG","BBB","2020-03-27",0,15,15
"438","RRG","BBR","2020-03-27",0,1,1
"439","RRG","BGB","2020-03-27",1,6,7
"440","RRG","BRB","2020-03-27",0,13,13
"441","RRG","BRR","2020-03-27",0,2,2
"442","RRG","GGG","2020-03-27",0,7,7
"443","RRG","GGR","2020-03-27",0,1,1
"444","RRG","GRR","2020-03-27",1,0,1
"445","RRG","RGG","2020-03-27",0,1,1
"446","RRG","RGR","2020-03-27",0,1,1
"447","RRR","BRB","2020-03-27",0,1,1
"448","RRR","RBR","2020-03-27",0,1,1
"449","RRR","RGG","2020-03-27",0,1,1
"450","RRR","RGR","2020-03-27",0,1,1
"451","RRR","RRG","2020-03-27",1,1,2
"452","BBB","BRB","2020-03-28",0,1,1
"453","BBB","RRR","2020-03-28",0,1,1
"454","BBG","BBB","2020-03-28",1,2,3
"455","BBG","BRB","2020-03-28",1,2,3
"456","BBG","GBB","2020-03-28",0,1,1
"457","BBG","GGB","2020-03-28",1,8,9
"458","BBG","GGG","2020-03-28",0,7,7
"459","BBG","GRG","2020-03-28",1,1,2
"460","BBG","RRG","2020-03-28",1,0,1
"461","BBG","RRR","2020-03-28",0,1,1
"462","BGG","BBB","2020-03-28",0,1,1
"463","BGG","GRG","2020-03-28",0,1,1
"464","BGG","RBG","2020-03-28",1,1,2
"465","BGG","RGG","2020-03-28",0,2,2
"466","BGG","RRR","2020-03-28",1,1,2
"467","BRB","BBB","2020-03-28",0,2,2
"468","BRB","BBR","2020-03-28",0,1,1
"469","BRR","BBB","2020-03-28",0,6,6
"470","BRR","BGB","2020-03-28",1,0,1
"471","GBB","BBB","2020-03-28",6,10,16
"472","GBB","BRB","2020-03-28",0,2,2
"473","GBB","BRR","2020-03-28",1,2,3
"474","GBB","GGB","2020-03-28",0,3,3
"475","GBB","GGG","2020-03-28",2,14,16
"476","GBB","GGR","2020-03-28",0,2,2
"477","GBB","GRG","2020-03-28",0,2,2
"478","GBB","RBB","2020-03-28",0,1,1
"479","GBB","RBG","2020-03-28",1,4,5
"480","GBB","RGR","2020-03-28",1,0,1
"481","GBB","RRR","2020-03-28",1,3,4
"482","GBG","BRB","2020-03-28",1,1,2
"483","GBG","GGB","2020-03-28",0,2,2
"484","GBG","GGG","2020-03-28",3,6,9
"485","GBG","RRG","2020-03-28",0,1,1
"486","GGB","BBB","2020-03-28",3,4,7
"487","GGB","BBR","2020-03-28",1,1,2
"488","GGB","BGG","2020-03-28",0,1,1
"489","GGB","BRR","2020-03-28",0,2,2
"490","GGB","GGG","2020-03-28",6,5,11
"491","GGB","GGR","2020-03-28",0,1,1
"492","GGB","RBB","2020-03-28",0,2,2
"493","GGB","RGG","2020-03-28",1,0,1
"494","GGB","RRG","2020-03-28",0,2,2
"495","GGG","BBB","2020-03-28",3,8,11
"496","GGG","BGB","2020-03-28",0,1,1
"497","GGG","BGG","2020-03-28",0,3,3
"498","GGG","BRB","2020-03-28",1,0,1
"499","GGG","BRR","2020-03-28",0,2,2
"500","GGG","GGB","2020-03-28",4,0,4
"501","GGG","GGR","2020-03-28",1,3,4
"502","GGG","GRR","2020-03-28",0,1,1
"503","GGG","RBB","2020-03-28",0,2,2
"504","GGG","RBG","2020-03-28",0,2,2
"505","GGG","RBR","2020-03-28",0,3,3
"506","GGG","RGG","2020-03-28",0,2,2
"507","GGG","RGR","2020-03-28",0,5,5
"508","GGG","RRG","2020-03-28",1,3,4
"509","GGG","RRR","2020-03-28",0,1,1
"510","GGR","BBR","2020-03-28",0,1,1
"511","GGR","BGG","2020-03-28",0,1,1
"512","GGR","GRR","2020-03-28",1,0,1
"513","GGR","RBB","2020-03-28",0,2,2
"514","GRG","BBB","2020-03-28",1,3,4
"515","GRG","BGG","2020-03-28",0,1,1
"516","GRG","BRR","2020-03-28",0,1,1
"517","GRG","GBG","2020-03-28",0,1,1
"518","GRG","GGB","2020-03-28",0,4,4
"519","GRG","GGG","2020-03-28",0,3,3
"520","GRG","GGR","2020-03-28",0,2,2
"521","GRG","GRR","2020-03-28",0,1,1
"522","GRG","RGR","2020-03-28",1,0,1
"523","GRR","BRR","2020-03-28",0,1,1
"524","GRR","GGG","2020-03-28",0,1,1
"525","RBB","BBB","2020-03-28",0,1,1
"526","RBG","BBB","2020-03-28",0,4,4
"527","RBG","BBG","2020-03-28",0,1,1
"528","RBG","RBB","2020-03-28",1,1,2
"529","RBR","BBB","2020-03-28",0,4,4
"530","RBR","BBR","2020-03-28",0,1,1
"531","RBR","BGB","2020-03-28",1,1,2
"532","RBR","BGG","2020-03-28",0,1,1
"533","RBR","GGB","2020-03-28",0,2,2
"534","RBR","GRR","2020-03-28",2,0,2
"535","RBR","RBB","2020-03-28",0,1,1
"536","RBR","RGG","2020-03-28",0,1,1
"537","RBR","RGR","2020-03-28",1,0,1
"538","RGG","BBB","2020-03-28",0,3,3
"539","RGG","BBR","2020-03-28",0,1,1
"540","RGG","BGB","2020-03-28",0,1,1
"541","RGG","GGG","2020-03-28",0,1,1
"542","RGG","GGR","2020-03-28",0,1,1
"543","RGG","GRR","2020-03-28",0,1,1
"544","RGR","BBB","2020-03-28",0,1,1
"545","RGR","BBR","2020-03-28",0,1,1
"546","RGR","BGB","2020-03-28",0,2,2
"547","RGR","BGG","2020-03-28",2,1,3
"548","RGR","BRR","2020-03-28",0,3,3
"549","RGR","GGB","2020-03-28",0,2,2
"550","RGR","RBB","2020-03-28",0,3,3
"551","RGR","RGG","2020-03-28",1,0,1
"552","RRG","BBB","2020-03-28",1,5,6
"553","RRG","BBR","2020-03-28",0,1,1
"554","RRG","BGB","2020-03-28",0,2,2
"555","RRG","BRB","2020-03-28",1,9,10
"556","RRG","BRR","2020-03-28",1,4,5
"557","RRG","GGR","2020-03-28",0,1,1
"558","RRG","GRR","2020-03-28",1,1,2
"559","RRG","RBB","2020-03-28",0,1,1
"560","RRR","BGB","2020-03-28",2,1,3
"561","RRR","BGG","2020-03-28",1,0,1
"562","RRR","BRB","2020-03-28",1,0,1
"563","RRR","BRR","2020-03-28",1,0,1
"564","RRR","GRR","2020-03-28",0,1,1
"565","RRR","RGR","2020-03-28",1,0,1
"566","RRR","RRG","2020-03-28",1,1,2
"567","BBB","RBG","2020-03-29",0,1,1
"568","BBB","RRG","2020-03-29",1,1,2
"569","BBB","RRR","2020-03-29",0,1,1
"570","BBG","BGB","2020-03-29",0,1,1
"571","BBG","BRB","2020-03-29",0,10,10
"572","BBG","GBG","2020-03-29",2,4,6
"573","BBG","GGB","2020-03-29",0,7,7
"574","BBG","GGG","2020-03-29",3,21,24
"575","BBG","GRG","2020-03-29",0,6,6
"576","BBG","RBG","2020-03-29",0,4,4
"577","BBG","RBR","2020-03-29",0,1,1
"578","BBG","RGR","2020-03-29",0,1,1
"579","BBG","RRG","2020-03-29",0,2,2
"580","BBG","RRR","2020-03-29",0,4,4
"581","BGG","BBB","2020-03-29",0,2,2
"582","BGG","BBR","2020-03-29",0,1,1
"583","BGG","RGG","2020-03-29",0,1,1
"584","BGG","RGR","2020-03-29",0,1,1
"585","BRB","BBB","2020-03-29",0,4,4
"586","BRB","BRR","2020-03-29",0,1,1
"587","BRB","GGG","2020-03-29",0,1,1
"588","BRB","GGR","2020-03-29",0,1,1
"589","BRB","RBB","2020-03-29",0,1,1
"590","BRB","RBG","2020-03-29",0,1,1
"591","BRB","RGR","2020-03-29",0,1,1
"592","BRB","RRR","2020-03-29",0,1,1
"593","BRR","BBB","2020-03-29",0,2,2
"594","BRR","RBB","2020-03-29",0,1,1
"595","GBB","BBB","2020-03-29",5,19,24
"596","GBB","BRB","2020-03-29",0,4,4
"597","GBB","BRR","2020-03-29",0,1,1
"598","GBB","GBG","2020-03-29",0,4,4
"599","GBB","GGB","2020-03-29",0,5,5
"600","GBB","GGG","2020-03-29",2,25,27
"601","GBB","GGR","2020-03-29",1,0,1
"602","GBB","GRG","2020-03-29",0,3,3
"603","GBB","RBG","2020-03-29",2,5,7
"604","GBB","RBR","2020-03-29",1,0,1
"605","GBB","RGG","2020-03-29",1,0,1
"606","GBB","RGR","2020-03-29",1,0,1
"607","GBB","RRR","2020-03-29",0,6,6
"608","GBG","BBB","2020-03-29",0,3,3
"609","GBG","BRB","2020-03-29",0,2,2
"610","GBG","BRR","2020-03-29",1,0,1
"611","GBG","GGB","2020-03-29",0,2,2
"612","GBG","GGG","2020-03-29",1,4,5
"613","GBG","RBG","2020-03-29",0,1,1
"614","GBG","RGR","2020-03-29",1,2,3
"615","GBG","RRG","2020-03-29",1,1,2
"616","GGB","BBB","2020-03-29",0,5,5
"617","GGB","BBR","2020-03-29",0,2,2
"618","GGB","BGB","2020-03-29",0,3,3
"619","GGB","BGG","2020-03-29",0,2,2
"620","GGB","BRB","2020-03-29",0,1,1
"621","GGB","BRR","2020-03-29",1,11,12
"622","GGB","GBG","2020-03-29",1,0,1
"623","GGB","GGG","2020-03-29",1,23,24
"624","GGB","GGR","2020-03-29",0,5,5
"625","GGB","GRR","2020-03-29",0,2,2
"626","GGB","RBB","2020-03-29",0,2,2
"627","GGB","RBG","2020-03-29",0,4,4
"628","GGB","RBR","2020-03-29",0,1,1
"629","GGB","RGG","2020-03-29",0,4,4
"630","GGB","RGR","2020-03-29",0,1,1
"631","GGB","RRG","2020-03-29",1,0,1
"632","GGB","RRR","2020-03-29",1,4,5
"633","GGG","BBB","2020-03-29",1,1,2
"634","GGG","BGG","2020-03-29",0,1,1
"635","GGG","BRB","2020-03-29",0,1,1
"636","GGG","GGR","2020-03-29",0,2,2
"637","GGG","RBB","2020-03-29",1,4,5
"638","GGG","RBG","2020-03-29",0,1,1
