"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri"
"Pt","run001","run001",428,363,0.541087231352718,0.458912768647282,114,99,0.271428571428571,0.235714285714286,0.2662,0.177555563473449,0.529,210,0.943,0.77,0.3104,0.159521174813729,0.567,210,0.972,0.888
"Pt1","run002","run002",351,440,0.443742098609355,0.556257901390645,112,102,0.266666666666667,0.242857142857143,0.2974,0.174692836902788,0.543,210,0.989,0.954,0.3318,0.151848126766903,0.562,210,0.973,0.891
"Pt2","run003","run003",337,454,0.426042983565107,0.573957016434892,97,110,0.230952380952381,0.261904761904762,0.2688,0.141014408430918,0.586,210,0.942,0.766,0.2838,0.182430305559651,0.543,210,0.977,0.908
"Pt3","run004","run004",382,409,0.482932996207332,0.517067003792667,103,105,0.245238095238095,0.25,0.2701,0.144455397251145,0.576,210,0.907,0.63,0.2877,0.169519228972249,0.543,210,0.929,0.714
"Pt4","run005","run005",352,439,0.445006321112516,0.554993678887484,103,105,0.245238095238095,0.25,0.2448,0.139485862751472,0.576,210,0.956,0.825,0.3266,0.165491669818986,0.552,210,0.965,0.859
"Pt5","run006","run006",310,481,0.391908975979772,0.608091024020228,104,110,0.247619047619048,0.261904761904762,0.2831,0.167482740434987,0.552,210,0.962,0.848,0.3117,0.165838836781768,0.538,210,0.957,0.827
"Pt6","run007","run007",398,393,0.503160556257901,0.496839443742099,99,110,0.235714285714286,0.261904761904762,0.2851,0.150291586861561,0.586,210,0.985,0.94,0.3156,0.16429277635029,0.538,210,0.968,0.873
"Pt7","run008","run008",415,376,0.524652338811631,0.475347661188369,102,112,0.242857142857143,0.266666666666667,0.2753,0.159106728140005,0.571,210,0.959,0.836,0.3013,0.164826285364728,0.529,210,0.956,0.825
"Pt8","run009","run009",413,378,0.52212389380531,0.47787610619469,109,99,0.25952380952381,0.235714285714286,0.3351,0.162519164020677,0.533,210,0.967,0.87,0.2656,0.145408747292619,0.586,210,0.956,0.822
"Pt9","run010","run010",376,415,0.475347661188369,0.524652338811631,104,108,0.247619047619048,0.257142857142857,0.2623,0.15002328459916,0.571,210,0.944,0.775,0.3247,0.167362545112713,0.543,210,0.976,0.905
"Pt10","run011","run011",420,371,0.530973451327434,0.469026548672566,106,103,0.252380952380952,0.245238095238095,0.2948,0.175764529594153,0.538,210,0.964,0.858,0.2935,0.141763632822953,0.581,210,0.97,0.881
"Pt11","run012","run012",403,388,0.509481668773704,0.490518331226296,111,109,0.264285714285714,0.25952380952381,0.2721,0.164945077392948,0.533,210,0.919,0.676,0.3318,0.178939359918344,0.538,210,0.967,0.869
"Pt12","run013","run013",388,403,0.490518331226296,0.509481668773704,103,107,0.245238095238095,0.254761904761905,0.2773,0.1486443453223,0.562,210,0.927,0.709,0.3097,0.181773214602162,0.533,210,0.96,0.838
"Pt13","run014","run014",343,448,0.433628318584071,0.566371681415929,93,112,0.221428571428571,0.266666666666667,0.2571,0.153379445913672,0.6,210,0.983,0.933,0.313,0.153311106618835,0.548,210,0.973,0.89
"Pt14","run015","run015",398,393,0.503160556257901,0.496839443742099,103,102,0.245238095238095,0.242857142857143,0.2987,0.15565876110174,0.548,210,0.937,0.747,0.2805,0.163795008023464,0.557,210,0.943,0.772
"Pt15","run016","run016",301,490,0.380530973451327,0.619469026548673,115,103,0.273809523809524,0.245238095238095,0.3266,0.160415050580117,0.529,210,0.975,0.9,0.2831,0.16445425038267,0.562,210,0.993,0.97
"Pt16","run017","run017",405,386,0.512010113780025,0.487989886219975,103,104,0.245238095238095,0.247619047619048,0.2708,0.148023312558146,0.571,210,0.934,0.735,0.2825,0.168466337719005,0.548,210,0.94,0.758
"Pt17","run018","run018",410,381,0.518331226295828,0.481668773704172,114,96,0.271428571428571,0.228571428571429,0.3019,0.18097326953316,0.519,210,0.965,0.86,0.2799,0.135469471760288,0.595,210,0.951,0.805
"Pt18","run019","run019",446,345,0.563843236409608,0.436156763590392,108,105,0.257142857142857,0.25,0.2974,0.16278116368267,0.538,210,0.962,0.846,0.2708,0.17143175845541,0.552,210,0.929,0.718
"Pt19","run020","run020",489,302,0.618204804045512,0.381795195954488,114,99,0.271428571428571,0.235714285714286,0.3201,0.199770556407149,0.51,210,0.95,0.798,0.2539,0.135005332386693,0.581,210,0.915,0.661
"Pt20","run021","run021",381,410,0.481668773704172,0.518331226295828,106,104,0.252380952380952,0.247619047619048,0.2747,0.157406323148438,0.562,210,0.97,0.881,0.3052,0.155879742162921,0.562,210,0.969,0.874
"Pt21","run022","run022",454,337,0.573957016434892,0.426042983565107,109,102,0.25952380952381,0.242857142857143,0.289,0.181534848684569,0.548,210,0.975,0.901,0.2922,0.150346758949496,0.552,210,0.94,0.76
"Pt22","run023","run023",347,444,0.438685208596713,0.561314791403287,109,100,0.25952380952381,0.238095238095238,0.2818,0.166293888914173,0.552,210,0.971,0.883,0.2779,0.157812603631177,0.576,210,0.962,0.848
"Pt23","run024","run024",369,422,0.466498103666245,0.533501896333755,111,101,0.264285714285714,0.24047619047619,0.2695,0.16036684012978,0.548,210,0.949,0.796,0.2909,0.15385219135935,0.576,210,0.966,0.863
"Pt24","run025","run025",361,430,0.456384323640961,0.543615676359039,106,108,0.252380952380952,0.257142857142857,0.2786,0.164318055394994,0.543,210,0.948,0.791,0.2766,0.168794145426657,0.548,210,0.925,0.701
"Pt25","run026","run026",414,377,0.52338811630847,0.47661188369153,101,111,0.24047619047619,0.264285714285714,0.2734,0.156062885130014,0.562,210,0.912,0.648,0.2961,0.167678124831032,0.538,210,0.974,0.897
"Pt26","run027","run027",425,366,0.537294563843236,0.462705436156764,110,95,0.261904761904762,0.226190476190476,0.2747,0.161966760563699,0.538,210,0.914,0.658,0.2838,0.14717271983313,0.6,210,0.984,0.938
"Pt27","run028","run028",399,392,0.504424778761062,0.495575221238938,97,109,0.230952380952381,0.25952380952381,0.2857,0.139047485294104,0.581,210,0.969,0.877,0.2844,0.171681648924383,0.548,210,0.952,0.806
"Pt28","run029","run029",408,383,0.515802781289507,0.484197218710493,109,109,0.25952380952381,0.25952380952381,0.2558,0.144955054319095,0.548,210,0.924,0.697,0.3331,0.20321097767665,0.529,210,0.995,0.981
"Pt29","run030","run030",436,355,0.551201011378002,0.448798988621997,111,105,0.264285714285714,0.25,0.313,0.171988189725183,0.524,210,0.961,0.844,0.2955,0.160087402346964,0.557,210,0.975,0.901
"Pt30","run031","run031",337,454,0.426042983565107,0.573957016434892,101,109,0.24047619047619,0.25952380952381,0.2929,0.170006008795787,0.571,210,0.976,0.904,0.3078,0.164660548163978,0.533,210,0.98,0.921
"Pt31","run032","run032",442,349,0.558786346396966,0.441213653603034,110,101,0.261904761904762,0.24047619047619,0.2955,0.174677570127869,0.548,210,0.974,0.895,0.2896,0.157241727389243,0.557,210,0.938,0.753
"Pt32","run033","run033",432,359,0.54614412136536,0.45385587863464,114,112,0.271428571428571,0.266666666666667,0.3422,0.187320550624327,0.524,210,0.985,0.942,0.3247,0.175236355780371,0.529,210,0.988,0.953
"Pt33","run034","run034",328,463,0.414664981036662,0.585335018963338,105,110,0.25,0.261904761904762,0.2974,0.16513378104751,0.557,210,0.975,0.898,0.2779,0.169494677542957,0.538,210,0.937,0.749
"Pt34","run035","run035",454,337,0.573957016434892,0.426042983565107,108,103,0.257142857142857,0.245238095238095,0.3214,0.169817538494841,0.557,210,0.987,0.95,0.2721,0.155989854816386,0.562,210,0.946,0.784
"Pt35","run036","run036",345,446,0.436156763590392,0.563843236409608,105,113,0.25,0.269047619047619,0.2786,0.15028066609997,0.552,210,0.939,0.758,0.3084,0.19507759377051,0.533,210,0.969,0.877
"Pt36","run037","run037",444,347,0.561314791403287,0.438685208596713,108,100,0.257142857142857,0.238095238095238,0.3188,0.170585608683361,0.543,210,0.97,0.88,0.287,0.140018907999163,0.576,210,0.947,0.788
"Pt37","run038","run038",389,402,0.491782553729456,0.508217446270544,105,111,0.25,0.264285714285714,0.3156,0.149634314043078,0.543,210,0.936,0.744,0.2792,0.169156527661029,0.557,210,0.987,0.946
"Pt38","run039","run039",382,409,0.482932996207332,0.517067003792667,107,107,0.254761904761905,0.254761904761905,0.2701,0.158678677749455,0.552,210,0.962,0.846,0.3175,0.173886922485727,0.552,210,0.982,0.927
"Pt39","run040","run040",371,420,0.469026548672566,0.530973451327434,105,98,0.25,0.233333333333333,0.2597,0.141182677873923,0.562,210,0.908,0.631,0.2968,0.16176709434332,0.581,210,0.962,0.848
"Pt40","run041","run041",376,415,0.475347661188369,0.524652338811631,106,110,0.252380952380952,0.261904761904762,0.2779,0.156692411845484,0.576,210,0.951,0.803,0.3357,0.179685005924633,0.524,210,0.984,0.937
"Pt41","run042","run042",418,373,0.528445006321112,0.471554993678887,106,101,0.252380952380952,0.24047619047619,0.2422,0.161769704770488,0.548,210,0.951,0.803,0.3357,0.159749956811981,0.571,210,0.988,0.952
"Pt42","run043","run043",397,394,0.501896333754741,0.498103666245259,109,107,0.25952380952381,0.254761904761905,0.3422,0.18112943776134,0.538,210,0.989,0.955,0.25,0.14616517953202,0.552,210,0.95,0.8
"Pt43","run044","run044",445,346,0.562579013906447,0.437420986093552,107,104,0.254761904761905,0.247619047619048,0.2766,0.160903250150544,0.557,210,0.948,0.792,0.3065,0.161186260729497,0.538,210,0.928,0.713
"Pt44","run045","run045",430,361,0.543615676359039,0.456384323640961,111,101,0.264285714285714,0.24047619047619,0.2792,0.170450762502253,0.529,210,0.922,0.686,0.3182,0.149461317686676,0.571,210,0.966,0.866
"Pt45","run046","run046",361,430,0.456384323640961,0.543615676359039,102,103,0.242857142857143,0.245238095238095,0.2519,0.145722596437063,0.567,210,0.907,0.63,0.2987,0.18145880574452,0.543,210,0.972,0.886
"Pt46","run047","run047",440,351,0.556257901390645,0.443742098609355,110,105,0.261904761904762,0.25,0.3045,0.172437554229923,0.557,210,0.971,0.882,0.2903,0.146972599974846,0.543,210,0.94,0.761
"Pt47","run048","run048",383,408,0.484197218710493,0.515802781289507,103,107,0.245238095238095,0.254761904761905,0.3019,0.160730245300091,0.557,210,0.992,0.97,0.2442,0.176096441629598,0.543,210,0.923,0.692
"Pt48","run049","run049",423,368,0.534766118836915,0.465233881163085,104,105,0.247619047619048,0.25,0.2643,0.151207411063485,0.557,210,0.924,0.694,0.2792,0.160913037363076,0.562,210,0.962,0.847
"Pt49","run050","run050",330,461,0.417193426042984,0.582806573957016,93,119,0.221428571428571,0.283333333333333,0.2584,0.148812744565227,0.595,210,0.957,0.829,0.3162,0.175259598785155,0.514,210,0.974,0.895
"Pt50","run051","run051",490,301,0.619469026548673,0.380530973451327,111,100,0.264285714285714,0.238095238095238,0.3052,0.174708154983465,0.533,210,0.981,0.922,0.2448,0.141982331345585,0.571,210,0.953,0.811
"Pt51","run052","run052",398,393,0.503160556257901,0.496839443742099,102,112,0.242857142857143,0.266666666666667,0.2864,0.152105769858077,0.586,210,1,1,0.3019,0.155223229675057,0.533,210,0.953,0.812
"Pt52","run053","run053",325,466,0.410872313527181,0.589127686472819,107,109,0.254761904761905,0.25952380952381,0.2519,0.143986809865264,0.557,210,0.958,0.833,0.3188,0.195817286455042,0.533,210,0.985,0.941
"Pt53","run054","run054",390,401,0.493046776232617,0.506953223767383,98,112,0.233333333333333,0.266666666666667,0.2545,0.147373143096644,0.581,210,0.935,0.741,0.3169,0.184388194322746,0.524,210,0.957,0.827
"Pt54","run055","run055",348,443,0.439949431099874,0.560050568900126,110,108,0.261904761904762,0.257142857142857,0.2805,0.175425271746096,0.533,210,0.922,0.689,0.3214,0.168870163157212,0.533,210,0.973,0.892
"Pt55","run056","run056",388,403,0.490518331226296,0.509481668773704,97,110,0.230952380952381,0.261904761904762,0.2429,0.152680157694257,0.586,210,0.978,0.912,0.326,0.168772091926825,0.538,210,0.965,0.859
"Pt56","run057","run057",361,430,0.456384323640961,0.543615676359039,102,108,0.242857142857143,0.257142857142857,0.2968,0.158619993098072,0.567,210,0.988,0.951,0.3097,0.162485545773989,0.543,210,0.951,0.805
"Pt57","run058","run058",300,491,0.379266750948167,0.620733249051833,107,99,0.254761904761905,0.235714285714286,0.2974,0.162310617737151,0.543,210,0.95,0.8,0.2844,0.148457523224158,0.581,210,0.963,0.852
"Pt58","run059","run059",460,331,0.581542351453856,0.418457648546144,101,110,0.24047619047619,0.261904761904762,0.2896,0.144992775376607,0.576,210,0.944,0.775,0.3422,0.168286262756346,0.538,210,0.979,0.914
"Pt59","run060","run060",422,369,0.533501896333755,0.466498103666245,108,106,0.257142857142857,0.252380952380952,0.3201,0.183650322157203,0.533,210,0.989,0.955,0.2701,0.150953433350358,0.562,210,0.912,0.65
"Pt60","run061","run061",425,366,0.537294563843236,0.462705436156764,104,106,0.247619047619048,0.252380952380952,0.2994,0.167331562199983,0.552,210,0.945,0.782,0.2896,0.154581565802867,0.557,210,0.957,0.826
"Pt61","run062","run062",414,377,0.52338811630847,0.47661188369153,112,95,0.266666666666667,0.226190476190476,0.2825,0.180945891497138,0.514,210,0.942,0.767,0.3026,0.134104923026537,0.61,210,0.969,0.876
"Pt62","run063","run063",426,365,0.538558786346397,0.461441213653603,120,100,0.285714285714286,0.238095238095238,0.3812,0.181813341477001,0.505,210,0.973,0.891,0.2591,0.153858393175802,0.576,210,0.969,0.878
"Pt63","run064","run064",412,379,0.520859671302149,0.479140328697851,111,99,0.264285714285714,0.235714285714286,0.3409,0.169529030223956,0.529,210,0.994,0.978,0.2506,0.145964329653765,0.576,210,0.924,0.697
"Pt64","run065","run065",429,362,0.542351453855879,0.457648546144121,109,106,0.25952380952381,0.252380952380952,0.3169,0.204630114924505,0.529,210,0.995,0.979,0.2623,0.139129138760992,0.562,210,0.933,0.731
"Pt65","run066","run066",456,335,0.576485461441214,0.423514538558786,98,110,0.233333333333333,0.261904761904762,0.2675,0.14248265246062,0.576,210,0.935,0.739,0.3273,0.175679174756223,0.548,210,0.987,0.948
"Pt66","run067","run067",410,381,0.518331226295828,0.481668773704172,105,101,0.25,0.24047619047619,0.2818,0.167972695779309,0.548,210,0.929,0.718,0.2643,0.156396763371937,0.567,210,0.963,0.853
"Pt67","run068","run068",459,332,0.580278128950695,0.419721871049305,95,118,0.226190476190476,0.280952380952381,0.311,0.153387896394238,0.581,210,0.978,0.91,0.2994,0.151815301160686,0.533,210,0.944,0.774
"Pt68","run069","run069",456,335,0.576485461441214,0.423514538558786,103,106,0.245238095238095,0.252380952380952,0.3032,0.164524619013594,0.571,210,0.98,0.922,0.2812,0.14764513170506,0.567,210,0.949,0.794
"Pt69","run070","run070",398,393,0.503160556257901,0.496839443742099,104,102,0.247619047619048,0.242857142857143,0.2773,0.140459282928049,0.562,210,0.955,0.818,0.2851,0.15254579912117,0.571,210,0.973,0.893
"Pt70","run071","run071",464,327,0.586599241466498,0.413400758533502,107,111,0.254761904761905,0.264285714285714,0.3104,0.160108342154206,0.567,210,0.978,0.914,0.2799,0.164693041672097,0.533,210,0.923,0.694
"Pt71","run072","run072",403,388,0.509481668773704,0.490518331226296,102,112,0.242857142857143,0.266666666666667,0.2584,0.151458929190484,0.576,210,0.928,0.712,0.3305,0.185669997311965,0.519,210,0.978,0.914
"Pt72","run073","run073",349,442,0.441213653603034,0.558786346396966,118,96,0.280952380952381,0.228571428571429,0.3383,0.197865113971602,0.49,210,0.966,0.864,0.276,0.14107242449491,0.595,210,0.96,0.841
"Pt73","run074","run074",397,394,0.501896333754741,0.498103666245259,113,101,0.269047619047619,0.24047619047619,0.2727,0.16478468578826,0.538,210,0.942,0.769,0.2955,0.160118041133424,0.557,210,0.932,0.727
"Pt74","run075","run075",382,409,0.482932996207332,0.517067003792667,104,102,0.247619047619048,0.242857142857143,0.3506,0.178443554911747,0.538,210,0.988,0.953,0.2448,0.158075013552701,0.581,210,0.937,0.746
"Pt75","run076","run076",418,373,0.528445006321112,0.471554993678887,101,106,0.24047619047619,0.252380952380952,0.25,0.156612649388231,0.586,210,0.963,0.851,0.3143,0.162274348462278,0.538,210,0.963,0.851
"Pt76","run077","run077",459,332,0.580278128950695,0.419721871049305,106,103,0.252380952380952,0.245238095238095,0.3123,0.158470127841829,0.562,210,0.971,0.886,0.2909,0.15310498299664,0.557,210,0.942,0.768
"Pt77","run078","run078",443,348,0.560050568900126,0.439949431099874,100,107,0.238095238095238,0.254761904761905,0.2805,0.150944429604822,0.581,210,0.963,0.852,0.3201,0.155504914701377,0.548,210,0.96,0.84
"Pt78","run079","run079",382,409,0.482932996207332,0.517067003792667,103,108,0.245238095238095,0.257142857142857,0.2864,0.158746029638239,0.538,210,0.927,0.707,0.2695,0.175035217202568,0.552,210,0.938,0.753
"Pt79","run080","run080",396,395,0.50063211125158,0.49936788874842,106,103,0.252380952380952,0.245238095238095,0.261,0.152499191500858,0.562,210,0.944,0.774,0.2727,0.153350351290982,0.567,210,0.922,0.688
"Pt80","run081","run081",468,323,0.59165613147914,0.40834386852086,111,102,0.264285714285714,0.242857142857143,0.3123,0.174168869833351,0.538,210,0.963,0.853,0.2604,0.155470058038864,0.567,210,0.943,0.771
