"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri"
"Pt","run001",0.216329070471035,63,49,0.5625,0.4375,35,33,0.0833333333333333,0.0785714285714286,0.1481,0.0327079100038283,0.843,210,0.933,0.733,0.1513,0.0350044909738787,0.848,210,1,1
"Pt1","run002",0.172500541167581,59,53,0.526785714285714,0.473214285714286,32,33,0.0761904761904762,0.0785714285714286,0.1487,0.0303893527107814,0.857,210,1,1,0.1481,0.033140589569161,0.843,210,0.824,0.294
"Pt2","run003",-0.108000591162748,57,55,0.508928571428571,0.491071428571429,28,37,0.0666666666666667,0.0880952380952381,0.1435,0.0262806637806638,0.867,210,1,1,0.1494,0.0385219542362399,0.833,210,0.913,0.652
"Pt3","run004",0.268172215800921,52,60,0.464285714285714,0.535714285714286,31,36,0.0738095238095238,0.0857142857142857,0.1403,0.0267529890744176,0.862,210,0.667,-0.333,0.1675,0.0401911976911978,0.829,210,1,1
"Pt4","run005",0.101700806984003,59,53,0.526785714285714,0.473214285714286,38,31,0.0904761904761905,0.0738095238095238,0.1532,0.0330710162853021,0.819,210,0.8,0.2,0.1455,0.0320188031922725,0.867,210,1,1
"Pt5","run006",-0.00147191753208365,49,63,0.4375,0.5625,32,35,0.0761904761904762,0.0833333333333333,0.1675,0.0326376004947435,0.848,210,1,1,0.137,0.0317272211915068,0.843,210,1,1
"Pt6","run007",0.0343599604025367,47,65,0.419642857142857,0.580357142857143,31,37,0.0738095238095238,0.0880952380952381,0.1442,0.03071016285302,0.852,210,0.846,0.385,0.1597,0.0367403628117914,0.833,210,1,1
"Pt7","run008",0.0107279465450447,54,58,0.482142857142857,0.517857142857143,29,40,0.0690476190476191,0.0952380952380952,0.1429,0.024618354228744,0.871,210,0.833,0.333,0.1623,0.0448479694908268,0.814,210,1,1
"Pt8","run009",-0.0768030401132338,56,56,0.5,0.5,35,32,0.0833333333333333,0.0761904761904762,0.1539,0.0309755720470007,0.843,210,1,1,0.1506,0.0321078128220984,0.852,210,0.909,0.636
"Pt9","run010",-0.184695869847667,71,41,0.633928571428571,0.366071428571429,38,31,0.0904761904761905,0.0738095238095238,0.1532,0.0413084930942074,0.819,210,0.929,0.714,0.1558,0.0263048855906,0.867,210,1,1
"Pt10","run011",0.0352939586688762,70,42,0.625,0.375,35,31,0.0833333333333333,0.0738095238095238,0.1571,0.0406587676392872,0.838,210,1,1,0.1422,0.0265169184556938,0.857,210,0.917,0.667
"Pt11","run012",0.22764180696987,51,61,0.455357142857143,0.544642857142857,31,37,0.0738095238095238,0.0880952380952381,0.1396,0.0263024805881949,0.857,210,0.857,0.429,0.1591,0.0397455851027281,0.833,210,1,1
"Pt12","run013",-0.0900090546206905,58,54,0.517857142857143,0.482142857142857,34,33,0.080952380952381,0.0785714285714286,0.1403,0.0372264130427395,0.838,210,0.917,0.667,0.1487,0.0216086521188562,0.857,210,1,1
"Pt13","run014",0.265112784544178,58,54,0.517857142857143,0.482142857142857,33,35,0.0785714285714286,0.0833333333333333,0.1519,0.0384040232254517,0.843,210,1,1,0.1494,0.031835703978561,0.848,210,1,1
"Pt14","run015",-0.30458732327528,76,36,0.678571428571429,0.321428571428571,38,30,0.0904761904761905,0.0714285714285714,0.1545,0.041582782297068,0.829,210,1,1,0.1448,0.0254329004329004,0.862,210,0.6,-0.6
"Pt15","run016",-0.141973873405447,54,58,0.482142857142857,0.517857142857143,31,31,0.0738095238095238,0.0738095238095238,0.1481,0.037053184910328,0.852,210,1,1,0.1513,0.0238381327667043,0.862,210,1,1
