"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri"
"Pt","run001",0.450159537019108,56,56,0.5,0.5,38,34,0.0904761904761905,0.080952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1487,0.0334632034632035,0.852,210,1,1
"Pt1","run002",0.49302299712998,56,56,0.5,0.5,38,37,0.0904761904761905,0.0880952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1539,0.0354614659716702,0.824,210,0.882,0.529
"Pt2","run003",0.51925811549658,56,56,0.5,0.5,38,32,0.0904761904761905,0.0761904761904762,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1494,0.0346598639455783,0.848,210,1,1
"Pt3","run004",0.492217284271418,56,56,0.5,0.5,38,39,0.0904761904761905,0.0928571428571429,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.163,0.0297833779976639,0.824,210,1,1
"Pt4","run005",0.440269471053727,56,56,0.5,0.5,38,28,0.0904761904761905,0.0666666666666667,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1519,0.0294676355390642,0.867,210,1,1
"Pt5","run006",0.364616901358841,56,56,0.5,0.5,38,35,0.0904761904761905,0.0833333333333333,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1636,0.0337404658833229,0.843,210,1,1
"Pt6","run007",0.412482363750086,56,56,0.5,0.5,38,32,0.0904761904761905,0.0761904761904762,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1435,0.0316722887502108,0.852,210,1,1
"Pt7","run008",0.212574544217572,56,56,0.5,0.5,38,34,0.0904761904761905,0.080952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1532,0.0294346526489385,0.848,210,0.917,0.667
"Pt8","run009",0.236185091101003,56,56,0.5,0.5,38,34,0.0904761904761905,0.080952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.15,0.033056586270872,0.848,210,1,1
"Pt9","run010",0.0442605450089415,56,56,0.5,0.5,38,38,0.0904761904761905,0.0904761904761905,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1591,0.0378705421562563,0.824,210,1,1
"Pt10","run011",0.481957427830966,56,56,0.5,0.5,38,35,0.0904761904761905,0.0833333333333333,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1494,0.0359545896280591,0.838,210,0.909,0.636
"Pt11","run012",0.372964911362353,56,56,0.5,0.5,38,30,0.0904761904761905,0.0714285714285714,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1494,0.0384972170686457,0.857,210,1,1
"Pt12","run013",0.430929379534686,56,56,0.5,0.5,38,32,0.0904761904761905,0.0761904761904762,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1474,0.0349072356215214,0.848,210,1,1
"Pt13","run014",0.4827787020235,56,56,0.5,0.5,38,31,0.0904761904761905,0.0738095238095238,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1656,0.0329791108362535,0.852,210,1,1
