;actor;subject;observed.crowd;observed.displace;observed.totalCD;random.displace;random.crowd;runID
1;BBB;GRR;0;1;1;0;1;run001
2;BBG;BBB;1;9;10;3;7;run001
3;BBG;BBR;0;2;2;2;0;run001
4;BBG;BGB;0;1;1;0;1;run001
5;BBG;BGG;0;1;1;1;0;run001
6;BBG;BRB;0;2;2;0;2;run001
7;BBG;BRR;0;1;1;0;1;run001
8;BBG;GBB;1;1;2;2;0;run001
9;BBG;GBG;1;6;7;5;2;run001
10;BBG;GGB;0;18;18;17;1;run001
11;BBG;GGG;1;29;30;26;4;run001
12;BBG;GGR;0;2;2;2;0;run001
13;BBG;GRG;0;1;1;0;1;run001
14;BBG;GRR;0;3;3;0;3;run001
15;BBG;RBR;0;2;2;0;2;run001
16;BBG;RGR;0;2;2;1;1;run001
17;BBG;RRG;1;2;3;1;2;run001
18;BBG;RRR;0;1;1;1;0;run001
19;BGG;BBB;0;1;1;1;0;run001
20;BGG;BRB;0;1;1;0;1;run001
21;BGG;GGG;0;1;1;0;1;run001
22;BGG;RBB;0;1;1;0;1;run001
23;BGG;RBG;1;0;1;0;1;run001
24;BRB;BBB;0;1;1;0;1;run001
25;BRB;GGB;1;0;1;0;1;run001
26;BRB;GGG;0;2;2;0;2;run001
27;BRB;RBB;1;0;1;1;0;run001
28;BRR;BBB;0;1;1;0;1;run001
29;BRR;BRB;0;1;1;0;1;run001
30;BRR;GBB;1;0;1;1;0;run001
31;GBB;BBB;1;16;17;9;8;run001
32;GBB;BBG;0;2;2;1;1;run001
33;GBB;BGB;0;1;1;0;1;run001
34;GBB;BGG;0;3;3;3;0;run001
35;GBB;BRB;0;9;9;0;9;run001
36;GBB;BRR;0;2;2;2;0;run001
37;GBB;GBG;1;1;2;1;1;run001
38;GBB;GGB;2;59;61;9;52;run001
39;GBB;GGG;4;95;99;41;58;run001
40;GBB;GGR;0;1;1;1;0;run001
41;GBB;GRG;0;1;1;0;1;run001
42;GBB;GRR;1;8;9;3;6;run001
