"","actor","subject","date","crowd","displace","total.DC"
"1","BGG","RBG","2020-03-18",1,0,1
"2","GGB","GRR","2020-03-18",1,0,1
"3","RGR","GRR","2020-03-18",1,0,1
"4","BBG","BBB","2020-03-19",1,1,2
"5","BBG","GBB","2020-03-19",1,0,1
"6","BBG","RRG","2020-03-19",1,0,1
"7","BRR","GBB","2020-03-19",1,0,1
"8","GBB","BBB","2020-03-19",1,0,1
"9","GBB","GBG","2020-03-19",1,0,1
"10","GBB","GGG","2020-03-19",3,6,9
"11","GBB","RBR","2020-03-19",1,0,1
"12","GBG","RGR","2020-03-19",1,0,1
"13","GGB","BBB","2020-03-19",1,0,1
"14","GGB","BRB","2020-03-19",1,0,1
"15","GGG","BBB","2020-03-19",3,0,3
"16","GGG","RBR","2020-03-19",1,0,1
"17","GRG","RBR","2020-03-19",1,1,2
"18","GRR","BRB","2020-03-19",1,0,1
"19","RBR","GGR","2020-03-19",1,0,1
"20","RBR","GRR","2020-03-19",1,0,1
"21","RGR","BGB","2020-03-19",1,0,1
"22","RRG","RGR","2020-03-19",5,1,6
"23","BBG","GBG","2020-03-20",1,0,1
"24","BBG","GGG","2020-03-20",1,0,1
"25","BRB","GGB","2020-03-20",1,0,1
"26","BRB","RBB","2020-03-20",1,0,1
"27","GBB","GGB","2020-03-20",2,0,2
"28","GBB","GGG","2020-03-20",1,2,3
"29","GBB","GRR","2020-03-20",1,0,1
"30","GGB","BRB","2020-03-20",2,1,3
"31","GGB","GGG","2020-03-20",4,1,5
"32","GGB","RGR","2020-03-20",1,0,1
"33","GGB","RRG","2020-03-20",1,0,1
"34","GGG","BBB","2020-03-20",1,0,1
"35","GGG","GGB","2020-03-20",1,0,1
"36","GGG","GRR","2020-03-20",2,2,4
"37","GGG","RGG","2020-03-20",1,1,2
"38","GRR","BRR","2020-03-20",1,0,1
"39","GRR","GGR","2020-03-20",1,0,1
"40","GRR","RGG","2020-03-20",1,0,1
"41","RRG","RGR","2020-03-20",1,4,5
"42","RRR","GGG","2020-03-20",1,1,2
"43","BBG","BBB","2020-03-20",0,1,1
"44","BBG","GBG","2020-03-19",0,1,1
"45","BBG","GGB","2020-03-18",0,1,1
"46","BBG","GGB","2020-03-19",0,1,1
"47","BBG","GGG","2020-03-19",0,1,1
"48","BRB","BBB","2020-03-19",0,1,1
"49","GBB","GGB","2020-03-19",0,1,1
"50","GBB","RBB","2020-03-19",0,1,1
"51","GBB","RGG","2020-03-20",0,2,2
"52","GGB","BRR","2020-03-19",0,1,1
"53","GGB","GRR","2020-03-19",0,1,1
"54","GGB","RBG","2020-03-19",0,1,1
"55","GGG","BRB","2020-03-19",0,1,1
"56","GGG","BRR","2020-03-20",0,1,1
"57","GGG","GGR","2020-03-19",0,1,1
"58","GGG","GRG","2020-03-19",0,1,1
"59","GGG","RBB","2020-03-20",0,1,1
"60","GRG","BRB","2020-03-20",0,1,1
"61","GRG","GGB","2020-03-19",0,1,1
"62","GRG","GGB","2020-03-20",0,1,1
"63","GRG","GGG","2020-03-19",0,4,4
"64","GRR","BRR","2020-03-19",0,1,1
"65","GRR","GGR","2020-03-19",0,1,1
"66","RBR","RGG","2020-03-19",0,1,1
"67","RGR","BBB","2020-03-19",0,2,2
"68","RGR","GGR","2020-03-19",0,1,1
"69","RGR","GRR","2020-03-19",0,1,1
"70","RRG","RBR","2020-03-20",0,1,1
"71","RRR","GGR","2020-03-19",0,2,2
