"","actor","subject","observed.crowd","observed.displace","observed.totalCD","random.displace","random.crowd","runID"
"1","BBG","BBB",1,2,3,0,3,"run001"
"2","BBG","GBB",1,0,1,1,0,"run001"
"3","BBG","GBG",1,1,2,2,0,"run001"
"4","BBG","GGB",0,2,2,0,2,"run001"
"5","BBG","GGG",1,1,2,1,1,"run001"
"6","BBG","RRG",1,0,1,0,1,"run001"
"7","BGG","RBG",1,0,1,0,1,"run001"
"8","BRB","BBB",0,1,1,0,1,"run001"
"9","BRB","GGB",1,0,1,1,0,"run001"
"10","BRB","RBB",1,0,1,1,0,"run001"
"11","BRR","GBB",1,0,1,0,1,"run001"
"12","GBB","BBB",1,0,1,0,1,"run001"
"13","GBB","GBG",1,0,1,0,1,"run001"
"14","GBB","GGB",2,1,3,0,3,"run001"
"15","GBB","GGG",4,8,12,4,8,"run001"
"16","GBB","GRR",1,0,1,1,0,"run001"
"17","GBB","RBB",0,1,1,1,0,"run001"
"18","GBB","RBR",1,0,1,1,0,"run001"
"19","GBB","RGG",0,2,2,1,1,"run001"
"20","GBG","RGR",1,0,1,0,1,"run001"
"21","GGB","BBB",1,0,1,0,1,"run001"
"22","GGB","BRB",3,1,4,4,0,"run001"
"23","GGB","BRR",0,1,1,0,1,"run001"
"24","GGB","GGG",4,1,5,0,5,"run001"
"25","GGB","GRR",1,1,2,0,2,"run001"
"26","GGB","RBG",0,1,1,1,0,"run001"
"27","GGB","RGR",1,0,1,0,1,"run001"
"28","GGB","RRG",1,0,1,0,1,"run001"
"29","GGG","BBB",4,0,4,1,3,"run001"
"30","GGG","BRB",0,1,1,1,0,"run001"
"31","GGG","BRR",0,1,1,1,0,"run001"
"32","GGG","GGB",1,0,1,0,1,"run001"
"33","GGG","GGR",0,1,1,1,0,"run001"
"34","GGG","GRG",0,1,1,0,1,"run001"
"35","GGG","GRR",2,2,4,0,4,"run001"
"36","GGG","RBB",0,1,1,1,0,"run001"
"37","GGG","RBR",1,0,1,0,1,"run001"
"38","GGG","RGG",1,1,2,1,1,"run001"
"39","GRG","BRB",0,1,1,1,0,"run001"
"40","GRG","GGB",0,2,2,1,1,"run001"
"41","GRG","GGG",0,4,4,3,1,"run001"
"42","GRG","RBR",1,1,2,1,1,"run001"
"43","GRR","BRB",1,0,1,1,0,"run001"
"44","GRR","BRR",1,1,2,0,2,"run001"
"45","GRR","GGR",1,1,2,2,0,"run001"
"46","GRR","RGG",1,0,1,1,0,"run001"
"47","RBR","GGR",1,0,1,0,1,"run001"
"48","RBR","GRR",1,0,1,1,0,"run001"
"49","RBR","RGG",0,1,1,1,0,"run001"
"50","RGR","BBB",0,2,2,0,2,"run001"
"51","RGR","BGB",1,0,1,0,1,"run001"
"52","RGR","GGR",0,1,1,1,0,"run001"
"53","RGR","GRR",1,1,2,1,1,"run001"
"54","RRG","RBR",0,1,1,1,0,"run001"
"55","RRG","RGR",6,5,11,6,5,"run001"
"56","RRR","GGG",1,1,2,2,0,"run001"
"57","RRR","GGR",0,2,2,1,1,"run001"
"58","BBG","BBB",1,2,3,0,3,"run002"
"59","BBG","GBB",1,0,1,0,1,"run002"
"60","BBG","GBG",1,1,2,1,1,"run002"
