"","runID","actor","subject","displace","crowd","total.DC"
"1","run001","BBG","BBB",0,1,1
"2","run001","BBG","GBB",0,1,1
"3","run001","BBG","GBG",0,1,1
"4","run001","BBG","GGB",4,0,4
"5","run001","BBG","GGG",1,1,2
"6","run001","BBG","GRR",1,0,1
"7","run001","BBG","RRG",0,1,1
"8","run001","BGG","RBG",0,1,1
"9","run001","BRB","GGB",0,1,1
"10","run001","BRB","RBB",0,1,1
"11","run001","BRR","GBB",0,1,1
"12","run001","GBB","BBB",0,1,1
"13","run001","GBB","GBG",0,1,1
"14","run001","GBB","GGB",5,2,7
"15","run001","GBB","GGG",8,4,12
"16","run001","GBB","GRG",1,0,1
"17","run001","GBB","GRR",0,1,1
"18","run001","GBB","RBR",1,1,2
"19","run001","GBG","RGR",0,1,1
"20","run001","GGB","BBB",1,1,2
"21","run001","GGB","BRB",1,3,4
"22","run001","GGB","GGG",3,4,7
"23","run001","GGB","GRR",0,1,1
"24","run001","GGB","RGR",0,1,1
"25","run001","GGB","RRG",0,1,1
"26","run001","GGG","BBB",1,4,5
"27","run001","GGG","BBG",1,0,1
"28","run001","GGG","BGG",1,0,1
"29","run001","GGG","BRR",2,0,2
"30","run001","GGG","GGB",0,1,1
"31","run001","GGG","GRR",2,2,4
"32","run001","GGG","RBR",0,1,1
"33","run001","GGG","RGG",0,1,1
"34","run001","GGG","RRR",1,0,1
"35","run001","GRG","BBB",1,0,1
"36","run001","GRG","BRB",1,0,1
"37","run001","GRG","GBB",1,0,1
"38","run001","GRG","GGG",1,0,1
"39","run001","GRG","RBR",0,1,1
"40","run001","GRR","BRB",1,1,2
"41","run001","GRR","BRR",0,1,1
"42","run001","GRR","GGR",0,1,1
"43","run001","GRR","RGG",1,1,2
"44","run001","RBB","BBB",1,0,1
"45","run001","RBR","BBB",2,0,2
"46","run001","RBR","GGG",1,0,1
"47","run001","RBR","GGR",0,1,1
"48","run001","RBR","GRR",1,1,2
"49","run001","RBR","RGG",1,0,1
"50","run001","RGR","BGB",0,1,1
"51","run001","RGR","GGR",1,0,1
"52","run001","RGR","GRR",1,1,2
"53","run001","RGR","RGG",1,0,1
"54","run001","RRG","GRR",1,0,1
"55","run001","RRG","RGR",4,6,10
"56","run001","RRR","BRR",1,0,1
"57","run001","RRR","GGG",1,1,2
"58","run002","BBG","BBB",0,1,1
"59","run002","BBG","GBB",0,1,1
"60","run002","BBG","GBG",0,1,1
"61","run002","BBG","GGB",1,0,1
"62","run002","BBG","GGG",2,1,3
"63","run002","BBG","RRG",0,1,1
"64","run002","BGG","RBG",0,1,1
"65","run002","BRB","GGB",0,1,1
"66","run002","BRB","RBB",0,1,1
"67","run002","BRR","GBB",0,1,1
"68","run002","GBB","BBB",1,1,2
"69","run002","GBB","BRB",1,0,1
"70","run002","GBB","GBG",0,1,1
"71","run002","GBB","GGB",6,2,8
"72","run002","GBB","GGG",5,4,9
"73","run002","GBB","GRR",0,1,1
"74","run002","GBB","RBG",1,0,1
"75","run002","GBB","RBR",0,1,1
"76","run002","GBG","GGB",1,0,1
"77","run002","GBG","RGR",0,1,1
"78","run002","GGB","BBB",0,1,1
"79","run002","GGB","BRB",0,3,3
"80","run002","GGB","GGG",3,4,7
"81","run002","GGB","GGR",1,0,1
"82","run002","GGB","GRR",1,1,2
"83","run002","GGB","RGR",1,1,2
"84","run002","GGB","RRG",1,1,2
"85","run002","GGG","BBB",2,4,6
"86","run002","GGG","GGB",0,1,1
"87","run002","GGG","GRR",3,2,5
"88","run002","GGG","RBR",0,1,1
"89","run002","GGG","RGG",0,1,1
"90","run002","GGG","RRG",1,0,1
"91","run002","GGR","BGG",1,0,1
"92","run002","GRG","BBB",1,0,1
"93","run002","GRG","BGB",1,0,1
"94","run002","GRG","BRB",1,0,1
"95","run002","GRG","GGB",1,0,1
"96","run002","GRG","GGG",1,0,1
"97","run002","GRG","GGR",1,0,1
"98","run002","GRG","RBR",1,1,2
"99","run002","GRR","BBR",1,0,1
"100","run002","GRR","BRB",0,1,1
"101","run002","GRR","BRR",0,1,1
"102","run002","GRR","GGR",0,1,1
"103","run002","GRR","RGG",1,1,2
"104","run002","RBR","BBB",1,0,1
"105","run002","RBR","GGR",0,1,1
"106","run002","RBR","GRR",1,1,2
"107","run002","RBR","RRR",2,0,2
"108","run002","RGR","BBB",1,0,1
"109","run002","RGR","BGB",1,1,2
"110","run002","RGR","GGR",1,0,1
"111","run002","RGR","GRR",1,1,2
"112","run002","RRG","BGB",1,0,1
"113","run002","RRG","GRG",1,0,1
"114","run002","RRG","RBR",1,0,1
"115","run002","RRG","RGR",4,6,10
"116","run002","RRR","GGG",0,1,1
"117","run003","BBG","BBB",0,1,1
"118","run003","BBG","GBB",0,1,1
"119","run003","BBG","GBG",1,1,2
"120","run003","BBG","GGB",1,0,1
"121","run003","BBG","GGG",0,1,1
"122","run003","BBG","GGR",1,0,1
"123","run003","BBG","RBR",1,0,1
"124","run003","BBG","RRG",0,1,1
"125","run003","BGG","BBB",1,0,1
"126","run003","BGG","RBG",0,1,1
"127","run003","BRB","GGB",0,1,1
"128","run003","BRB","GGG",1,0,1
"129","run003","BRB","RBB",0,1,1
"130","run003","BRR","GBB",0,1,1
"131","run003","GBB","BBB",0,1,1
"132","run003","GBB","GBG",1,1,2
"133","run003","GBB","GGB",2,2,4
"134","run003","GBB","GGG",9,4,13
"135","run003","GBB","GRR",0,1,1
"136","run003","GBB","RBB",1,0,1
"137","run003","GBB","RBR",0,1,1
"138","run003","GBG","GGR",1,0,1
"139","run003","GBG","RGR",0,1,1
"140","run003","GGB","BBB",0,1,1
"141","run003","GGB","BRB",1,3,4
"142","run003","GGB","GGG",5,4,9
"143","run003","GGB","GRR",0,1,1
"144","run003","GGB","RGR",0,1,1
"145","run003","GGB","RRG",0,1,1
"146","run003","GGG","BBB",3,4,7
"147","run003","GGG","BRR",1,0,1
"148","run003","GGG","GGB",0,1,1
"149","run003","GGG","GGR",2,0,2
"150","run003","GGG","GRR",2,2,4
"151","run003","GGG","RBR",0,1,1
"152","run003","GGG","RGG",0,1,1
"153","run003","GGG","RGR",1,0,1
"154","run003","GGG","RRG",1,0,1
"155","run003","GRG","BRB",3,0,3
"156","run003","GRG","GGB",2,0,2
"157","run003","GRG","GGG",1,0,1
"158","run003","GRG","RBR",0,1,1
"159","run003","GRR","BRB",0,1,1
"160","run003","GRR","BRR",0,1,1
"161","run003","GRR","GGR",0,1,1
"162","run003","GRR","RGG",0,1,1
"163","run003","RBR","BBB",1,0,1
"164","run003","RBR","GGR",1,1,2
"165","run003","RBR","GRR",1,1,2
"166","run003","RGR","BGB",2,1,3
"167","run003","RGR","BRR",1,0,1
"168","run003","RGR","GGR",1,0,1
"169","run003","RGR","GRR",1,1,2
"170","run003","RRG","RGR",3,6,9
"171","run003","RRR","GGG",2,1,3
"172","run003","RRR","RGR",1,0,1
"173","run004","BBG","BBB",0,1,1
"174","run004","BBG","BBR",1,0,1
"175","run004","BBG","GBB",0,1,1
"176","run004","BBG","GBG",1,1,2
"177","run004","BBG","GGB",1,0,1
"178","run004","BBG","GGG",3,1,4
"179","run004","BBG","GGR",1,0,1
"180","run004","BBG","GRR",1,0,1
"181","run004","BBG","RBR",1,0,1
"182","run004","BBG","RRG",0,1,1
"183","run004","BGG","BRB",1,0,1
"184","run004","BGG","RBG",0,1,1
"185","run004","BRB","GGB",0,1,1
"186","run004","BRB","RBB",0,1,1
"187","run004","BRR","GBB",0,1,1
"188","run004","GBB","BBB",0,1,1
"189","run004","GBB","GBG",0,1,1
"190","run004","GBB","GGB",2,2,4
"191","run004","GBB","GGG",8,4,12
"192","run004","GBB","GRR",1,1,2
"193","run004","GBB","RBB",1,0,1
"194","run004","GBB","RBR",0,1,1
"195","run004","GBB","RRG",1,0,1
"196","run004","GBG","BRR",1,0,1
"197","run004","GBG","RGR",0,1,1
"198","run004","GGB","BBB",0,1,1
"199","run004","GGB","BRB",1,3,4
"200","run004","GGB","GGG",2,4,6
"201","run004","GGB","GRR",0,1,1
"202","run004","GGB","RGG",1,0,1
"203","run004","GGB","RGR",0,1,1
"204","run004","GGB","RRG",0,1,1
"205","run004","GGB","RRR",1,0,1
"206","run004","GGG","BBB",2,4,6
"207","run004","GGG","BBR",1,0,1
"208","run004","GGG","BGB",1,0,1
"209","run004","GGG","GGB",2,1,3
"210","run004","GGG","GRG",1,0,1
"211","run004","GGG","GRR",0,2,2
"212","run004","GGG","RBR",0,1,1
"213","run004","GGG","RGG",0,1,1
"214","run004","GRG","BBB",1,0,1
"215","run004","GRG","BRR",1,0,1
"216","run004","GRG","GGR",1,0,1
"217","run004","GRG","RBR",2,1,3
"218","run004","GRR","BRB",1,1,2
"219","run004","GRR","BRR",1,1,2
"220","run004","GRR","GBB",1,0,1
"221","run004","GRR","GGR",1,1,2
"222","run004","GRR","RGG",0,1,1
"223","run004","RBR","GGR",0,1,1
"224","run004","RBR","GRR",0,1,1
"225","run004","RBR","RGG",1,0,1
"226","run004","RGR","BBB",1,0,1
"227","run004","RGR","BGB",1,1,2
"228","run004","RGR","GGG",1,0,1
"229","run004","RGR","GGR",1,0,1
"230","run004","RGR","GRR",0,1,1
"231","run004","RRG","RGR",4,6,10
"232","run004","RRR","GGG",1,1,2
"233","run004","RRR","GGR",1,0,1
"234","run005","BBB","GRR",1,0,1
"235","run005","BBG","BBB",0,1,1
"236","run005","BBG","GBB",0,1,1
"237","run005","BBG","GBG",0,1,1
"238","run005","BBG","GGG",1,1,2
"239","run005","BBG","RRG",0,1,1
"240","run005","BGG","BRB",1,0,1
"241","run005","BGG","GGG",1,0,1
"242","run005","BGG","RBG",0,1,1
"243","run005","BRB","GGB",0,1,1
"244","run005","BRB","RBB",0,1,1
"245","run005","BRR","GBB",0,1,1
"246","run005","GBB","BBB",2,1,3
"247","run005","GBB","BBG",1,0,1
"248","run005","GBB","BGG",1,0,1
"249","run005","GBB","BRB",2,0,2
"250","run005","GBB","GBG",0,1,1
"251","run005","GBB","GGB",9,2,11
"252","run005","GBB","GGG",9,4,13
"253","run005","GBB","GRR",2,1,3
"254","run005","GBB","RBR",0,1,1
"255","run005","GBG","RGR",0,1,1
"256","run005","GBG","RRR",1,0,1
"257","run005","GGB","BBB",3,1,4
"258","run005","GGB","BRB",0,3,3
"259","run005","GGB","GGG",2,4,6
"260","run005","GGB","GGR",1,0,1
"261","run005","GGB","GRR",0,1,1
"262","run005","GGB","RGR",0,1,1
"263","run005","GGB","RRG",0,1,1
"264","run005","GGB","RRR",1,0,1
"265","run005","GGG","BBB",0,4,4
"266","run005","GGG","BRR",1,0,1
"267","run005","GGG","GGB",0,1,1
"268","run005","GGG","GRR",2,2,4
"269","run005","GGG","RBR",1,1,2
"270","run005","GGG","RGG",0,1,1
"271","run005","GGR","BRB",1,0,1
"272","run005","GRG","RBR",0,1,1
"273","run005","GRR","BRB",1,1,2
"274","run005","GRR","BRR",0,1,1
"275","run005","GRR","GGR",0,1,1
"276","run005","GRR","RGG",1,1,2
"277","run005","RBR","GGR",0,1,1
"278","run005","RBR","GRR",0,1,1
"279","run005","RGR","BGB",1,1,2
"280","run005","RGR","GGG",1,0,1
"281","run005","RGR","GRR",0,1,1
"282","run005","RGR","RGG",1,0,1
"283","run005","RRG","GRG",1,0,1
"284","run005","RRG","RGR",5,6,11
"285","run005","RRR","GGG",2,1,3
"286","run006","BBG","BBB",0,1,1
"287","run006","BBG","BRB",1,0,1
"288","run006","BBG","GBB",0,1,1
"289","run006","BBG","GBG",2,1,3
"290","run006","BBG","GGB",2,0,2
"291","run006","BBG","GGG",1,1,2
"292","run006","BBG","GRR",1,0,1
"293","run006","BBG","RRG",0,1,1
"294","run006","BGG","RBG",0,1,1
"295","run006","BRB","GGB",0,1,1
"296","run006","BRB","RBB",0,1,1
"297","run006","BRR","GBB",0,1,1
"298","run006","GBB","BBB",2,1,3
"299","run006","GBB","BBG",1,0,1
"300","run006","GBB","BRB",2,0,2
"301","run006","GBB","GBG",0,1,1
"302","run006","GBB","GGB",3,2,5
"303","run006","GBB","GGG",2,4,6
"304","run006","GBB","GRR",2,1,3
"305","run006","GBB","RBR",0,1,1
"306","run006","GBB","RGR",1,0,1
"307","run006","GBG","RGR",0,1,1
"308","run006","GGB","BBB",1,1,2
"309","run006","GGB","BBG",1,0,1
"310","run006","GGB","BRB",1,3,4
"311","run006","GGB","GGG",2,4,6
"312","run006","GGB","GRR",0,1,1
"313","run006","GGB","RGR",0,1,1
"314","run006","GGB","RRG",0,1,1
"315","run006","GGB","RRR",1,0,1
"316","run006","GGG","BBB",2,4,6
"317","run006","GGG","GGB",0,1,1
"318","run006","GGG","GGR",2,0,2
"319","run006","GGG","GRR",0,2,2
"320","run006","GGG","RBR",2,1,3
"321","run006","GGG","RGG",2,1,3
"322","run006","GGG","RGR",1,0,1
"323","run006","GRG","BRR",1,0,1
"324","run006","GRG","GGB",3,0,3
"325","run006","GRG","GGR",1,0,1
"326","run006","GRG","RBR",0,1,1
"327","run006","GRG","RGG",1,0,1
"328","run006","GRR","BRB",0,1,1
"329","run006","GRR","BRR",0,1,1
"330","run006","GRR","GGR",3,1,4
"331","run006","GRR","RGG",0,1,1
"332","run006","RBR","GGR",0,1,1
"333","run006","RBR","GRR",1,1,2
"334","run006","RGR","BBB",1,0,1
"335","run006","RGR","BGB",1,1,2
"336","run006","RGR","GGR",1,0,1
"337","run006","RGR","GRR",0,1,1
"338","run006","RRG","BGB",1,0,1
"339","run006","RRG","RBR",1,0,1
"340","run006","RRG","RGR",5,6,11
"341","run006","RRR","GGB",1,0,1
"342","run006","RRR","GGG",0,1,1
"343","run007","BBG","BBB",0,1,1
"344","run007","BBG","GBB",0,1,1
"345","run007","BBG","GBG",1,1,2
"346","run007","BBG","GGB",2,0,2
"347","run007","BBG","GGG",2,1,3
"348","run007","BBG","RRG",0,1,1
"349","run007","BGG","RBG",0,1,1
"350","run007","BRB","GGB",0,1,1
"351","run007","BRB","RBB",0,1,1
"352","run007","BRR","GBB",0,1,1
"353","run007","GBB","BBB",0,1,1
"354","run007","GBB","BGG",2,0,2
"355","run007","GBB","GBG",0,1,1
"356","run007","GBB","GGB",5,2,7
"357","run007","GBB","GGG",9,4,13
"358","run007","GBB","GRR",0,1,1
"359","run007","GBB","RBG",1,0,1
"360","run007","GBB","RBR",0,1,1
"361","run007","GBG","RGR",0,1,1
"362","run007","GBG","RRR",1,0,1
"363","run007","GGB","BBB",0,1,1
"364","run007","GGB","BRB",1,3,4
"365","run007","GGB","GGG",4,4,8
"366","run007","GGB","GRR",0,1,1
"367","run007","GGB","RBB",1,0,1
"368","run007","GGB","RGR",0,1,1
"369","run007","GGB","RRG",1,1,2
"370","run007","GGG","BBB",1,4,5
"371","run007","GGG","BRR",1,0,1
"372","run007","GGG","GBB",1,0,1
"373","run007","GGG","GGB",0,1,1
"374","run007","GGG","GGR",1,0,1
"375","run007","GGG","GRR",1,2,3
"376","run007","GGG","RBB",1,0,1
"377","run007","GGG","RBR",1,1,2
"378","run007","GGG","RGG",1,1,2
"379","run007","GGR","BBB",1,0,1
"380","run007","GRG","BRR",1,0,1
"381","run007","GRG","GGB",4,0,4
"382","run007","GRG","GGG",2,0,2
"383","run007","GRG","RBR",0,1,1
"384","run007","GRR","BRB",0,1,1
"385","run007","GRR","BRR",0,1,1
"386","run007","GRR","GGR",0,1,1
"387","run007","GRR","RGG",0,1,1
"388","run007","RBR","BRB",1,0,1
"389","run007","RBR","GGR",0,1,1
"390","run007","RBR","GRR",1,1,2
"391","run007","RGR","BGB",1,1,2
"392","run007","RGR","GRR",0,1,1
"393","run007","RGR","RGG",1,0,1
"394","run007","RRG","BGB",1,0,1
"395","run007","RRG","RGR",3,6,9
"396","run007","RRR","BRR",1,0,1
"397","run007","RRR","GGG",0,1,1
"398","run007","RRR","GGR",1,0,1
"399","run008","BBG","BBB",0,1,1
"400","run008","BBG","GBB",0,1,1
"401","run008","BBG","GBG",0,1,1
"402","run008","BBG","GGG",2,1,3
"403","run008","BBG","GGR",1,0,1
"404","run008","BBG","RRG",0,1,1
"405","run008","BGG","RBG",0,1,1
"406","run008","BRB","GGB",0,1,1
"407","run008","BRB","RBB",0,1,1
"408","run008","BRR","GBB",0,1,1
"409","run008","GBB","BBB",1,1,2
"410","run008","GBB","BBG",1,0,1
"411","run008","GBB","BRR",1,0,1
"412","run008","GBB","GBG",0,1,1
"413","run008","GBB","GGB",4,2,6
"414","run008","GBB","GGG",6,4,10
