"","runID","actor","subject","crowd","displace","total.DC"
"1","run001","BBG","BBB",1,0,1
"2","run001","BBG","GBB",1,0,1
"3","run001","BBG","GBG",1,0,1
"4","run001","BBG","GGG",1,1,2
"5","run001","BBG","RRG",1,0,1
"6","run001","BGG","RBG",1,0,1
"7","run001","BRB","GGB",1,0,1
"8","run001","BRB","RBB",1,0,1
"9","run001","BRR","GBB",1,0,1
"10","run001","GBB","BBB",1,0,1
"11","run001","GBB","GBG",1,0,1
"12","run001","GBB","GGB",2,5,7
"13","run001","GBB","GGG",4,8,12
"14","run001","GBB","GRR",1,0,1
"15","run001","GBB","RBR",1,1,2
"16","run001","GBG","RGR",1,0,1
"17","run001","GGB","BBB",1,1,2
"18","run001","GGB","BRB",3,1,4
"19","run001","GGB","GGG",4,3,7
"20","run001","GGB","GRR",1,0,1
"21","run001","GGB","RGR",1,0,1
"22","run001","GGB","RRG",1,0,1
"23","run001","GGG","BBB",4,1,5
"24","run001","GGG","GGB",1,0,1
"25","run001","GGG","GRR",2,2,4
"26","run001","GGG","RBR",1,0,1
"27","run001","GGG","RGG",1,0,1
"28","run001","GRG","RBR",1,0,1
"29","run001","GRR","BRB",1,1,2
"30","run001","GRR","BRR",1,0,1
"31","run001","GRR","GGR",1,0,1
"32","run001","GRR","RGG",1,1,2
"33","run001","RBR","GGR",1,0,1
"34","run001","RBR","GRR",1,1,2
"35","run001","RGR","BGB",1,0,1
"36","run001","RGR","GRR",1,1,2
"37","run001","RRG","RGR",6,4,10
"38","run001","RRR","GGG",1,1,2
"39","run002","BBG","BBB",1,0,1
"40","run002","BBG","GBB",1,0,1
"41","run002","BBG","GBG",1,0,1
"42","run002","BBG","GGG",1,2,3
"43","run002","BBG","RRG",1,0,1
"44","run002","BGG","RBG",1,0,1
"45","run002","BRB","GGB",1,0,1
"46","run002","BRB","RBB",1,0,1
"47","run002","BRR","GBB",1,0,1
"48","run002","GBB","BBB",1,1,2
"49","run002","GBB","GBG",1,0,1
"50","run002","GBB","GGB",2,6,8
"51","run002","GBB","GGG",4,5,9
