"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.degree","Rcrowd.strength","Rcrowd.between","Rcrowd.ec","Rcrowd.ec.value","Rcrowd.apl","Rcrowd.ei","Rcrowd.eff","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.degree","Rdisp.strength","Rdisp.between","Rdisp.ec","Rdisp.ec.value","Rdisp.apl","Rdisp.ei","Rdisp.eff","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri","ref2.cor.matrix","R.cor.strength","R.cor.between","R.cor.eigen"
"BBB","run001",0.150777635065072,184,136,0.575,0.425,85,69,0.202380952380952,0.164285714285714,1,1,26.8666666666667,0.618837861122759,9.3323180188031,2.33720930232558,2.27094328993316,0.51702622359576,0.2052,0.102773793500084,0.614,210,0.898,0.591,1,2,62.1333333333333,1,6.21237650698472,2.58119658119658,2.03795049383318,0.463980695763079,0.2435,0.0790044762493742,0.681,210,0.966,0.864,0.349622332584789,0.852539180808129,0.375526301125876,0.528265107212476
"BBG","run001",0.150777635065072,184,136,0.575,0.425,85,69,0.202380952380952,0.164285714285714,5,12,0,0,9.3323180188031,2.33720930232558,2.27094328993316,0.51702622359576,0.2052,0.102773793500084,0.614,210,0.898,0.591,7,15,0,1.10064774885756e-17,6.21237650698472,2.58119658119658,2.03795049383318,0.463980695763079,0.2435,0.0790044762493742,0.681,210,0.966,0.864,0.349622332584789,0.852539180808129,0.375526301125876,0.528265107212476
"BBR","run001",0.150777635065072,184,136,0.575,0.425,85,69,0.202380952380952,0.164285714285714,0,0,0,0.118213136428849,9.3323180188031,2.33720930232558,2.27094328993316,0.51702622359576,0.2052,0.102773793500084,0.614,210,0.898,0.591,0,0,0,0.0102813346017334,6.21237650698472,2.58119658119658,2.03795049383318,0.463980695763079,0.2435,0.0790044762493742,0.681,210,0.966,0.864,0.349622332584789,0.852539180808129,0.375526301125876,0.528265107212476
"BGB","run001",0.150777635065072,184,136,0.575,0.425,85,69,0.202380952380952,0.164285714285714,2,2,38.5666666666667,0.313643083971086,9.3323180188031,2.33720930232558,2.27094328993316,0.51702622359576,0.2052,0.102773793500084,0.614,210,0.898,0.591,0,0,0,0.127899815551842,6.21237650698472,2.58119658119658,2.03795049383318,0.463980695763079,0.2435,0.0790044762493742,0.681,210,0.966,0.864,0.349622332584789,0.852539180808129,0.375526301125876,0.528265107212476
"BGG","run001",0.150777635065072,184,136,0.575,0.425,85,69,0.202380952380952,0.164285714285714,1,1,25.4166666666667,0.426194399608197,9.3323180188031,2.33720930232558,2.27094328993316,0.51702622359576,0.2052,0.102773793500084,0.614,210,0.898,0.591,1,1,34.5,0.0709662984469866,6.21237650698472,2.58119658119658,2.03795049383318,0.463980695763079,0.2435,0.0790044762493742,0.681,210,0.966,0.864,0.349622332584789,0.852539180808129,0.375526301125876,0.528265107212476
"BRB","run001",0.150777635065072,184,136,0.575,0.425,85,69,0.202380952380952,0.164285714285714,1,3,0,0.574870253116798,9.3323180188031,2.33720930232558,2.27094328993316,0.51702622359576,0.2052,0.102773793500084,0.614,210,0.898,0.591,0,0,0,0.137148085889137,6.21237650698472,2.58119658119658,2.03795049383318,0.463980695763079,0.2435,0.0790044762493742,0.681,210,0.966,0.864,0.349622332584789,0.852539180808129,0.375526301125876,0.528265107212476
"BRR","run001",0.150777635065072,184,136,0.575,0.425,85,69,0.202380952380952,0.164285714285714,1,1,2.2,0.600963883197366,9.3323180188031,2.33720930232558,2.27094328993316,0.51702622359576,0.2052,0.102773793500084,0.614,210,0.898,0.591,1,1,26.45,0.00205203841484115,6.21237650698472,2.58119658119658,2.03795049383318,0.463980695763079,0.2435,0.0790044762493742,0.681,210,0.966,0.864,0.349622332584789,0.852539180808129,0.375526301125876,0.528265107212476
"GBB","run001",0.150777635065072,184,136,0.575,0.425,85,69,0.202380952380952,0.164285714285714,11,29,0,0,9.3323180188031,2.33720930232558,2.27094328993316,0.51702622359576,0.2052,0.102773793500084,0.614,210,0.898,0.591,10,25,0,1.10064774885756e-17,6.21237650698472,2.58119658119658,2.03795049383318,0.463980695763079,0.2435,0.0790044762493742,0.681,210,0.966,0.864,0.349622332584789,0.852539180808129,0.375526301125876,0.528265107212476
"GBG","run001",0.150777635065072,184,136,0.575,0.425,85,69,0.202380952380952,0.164285714285714,4,9,3.33333333333333,0.0760890614467722,9.3323180188031,2.33720930232558,2.27094328993316,0.51702622359576,0.2052,0.102773793500084,0.614,210,0.898,0.591,6,9,4.25,5.60715549184165e-18,6.21237650698472,2.58119658119658,2.03795049383318,0.463980695763079,0.2435,0.0790044762493742,0.681,210,0.966,0.864,0.349622332584789,0.852539180808129,0.375526301125876,0.528265107212476
"GGB","run001",0.150777635065072,184,136,0.575,0.425,85,69,0.202380952380952,0.164285714285714,9,27,38.5,0.710087319173528,9.3323180188031,2.33720930232558,2.27094328993316,0.51702622359576,0.2052,0.102773793500084,0.614,210,0.898,0.591,6,16,33.8333333333333,0.0511234863004683,6.21237650698472,2.58119658119658,2.03795049383318,0.463980695763079,0.2435,0.0790044762493742,0.681,210,0.966,0.864,0.349622332584789,0.852539180808129,0.375526301125876,0.528265107212476
