"","actor","subject","observed.crowd","observed.displace","observed.totalCD","random.displace","random.crowd","runID"
"1","BBB","BRB",0,1,1,0,1,"run001"
"2","BBB","GGG",1,2,3,3,0,"run001"
"3","BBB","GRR",0,2,2,2,0,"run001"
"4","BBB","RBG",0,1,1,0,1,"run001"
"5","BBB","RRG",1,3,4,1,3,"run001"
"6","BBB","RRR",0,2,2,0,2,"run001"
"7","BBG","BBB",1,4,5,2,3,"run001"
"8","BBG","BGB",0,1,1,1,0,"run001"
"9","BBG","BGG",0,1,1,1,0,"run001"
"10","BBG","BRB",1,16,17,0,17,"run001"
"11","BBG","GBB",0,1,1,0,1,"run001"
"12","BBG","GBG",2,7,9,4,5,"run001"
"13","BBG","GGB",2,25,27,9,18,"run001"
"14","BBG","GGG",4,38,42,9,33,"run001"
"15","BBG","GRG",1,9,10,6,4,"run001"
"16","BBG","GRR",0,1,1,0,1,"run001"
"17","BBG","RBB",0,1,1,0,1,"run001"
"18","BBG","RBG",0,4,4,4,0,"run001"
"19","BBG","RBR",0,1,1,0,1,"run001"
"20","BBG","RGR",0,1,1,0,1,"run001"
"21","BBG","RRG",1,2,3,0,3,"run001"
"22","BBG","RRR",0,7,7,5,2,"run001"
"23","BGB","BBB",0,2,2,0,2,"run001"
"24","BGB","RRG",0,1,1,0,1,"run001"
"25","BGG","BBB",0,3,3,1,2,"run001"
"26","BGG","BBR",0,1,1,1,0,"run001"
"27","BGG","GRG",0,1,1,1,0,"run001"
"28","BGG","RBG",1,1,2,0,2,"run001"
"29","BGG","RGG",0,3,3,3,0,"run001"
"30","BGG","RGR",0,1,1,0,1,"run001"
"31","BGG","RRR",1,1,2,0,2,"run001"
"32","BRB","BBB",0,13,13,3,10,"run001"
"33","BRB","BBR",0,1,1,0,1,"run001"
"34","BRB","BRR",0,3,3,1,2,"run001"
"35","BRB","GGG",0,1,1,1,0,"run001"
"36","BRB","GGR",0,1,1,1,0,"run001"
"37","BRB","RBB",0,1,1,1,0,"run001"
"38","BRB","RBG",0,1,1,0,1,"run001"
"39","BRB","RGR",0,1,1,1,0,"run001"
"40","BRB","RRR",0,1,1,1,0,"run001"
"41","BRR","BBB",0,11,11,3,8,"run001"
"42","BRR","BGB",1,1,2,1,1,"run001"
"43","BRR","BGG",0,1,1,1,0,"run001"
"44","BRR","BRB",0,1,1,0,1,"run001"
"45","BRR","RBB",0,2,2,2,0,"run001"
"46","GBB","BBB",12,38,50,5,45,"run001"
"47","GBB","BGG",0,1,1,0,1,"run001"
"48","GBB","BRB",1,9,10,7,3,"run001"
"49","GBB","BRR",1,3,4,3,1,"run001"
"50","GBB","GBG",0,4,4,0,4,"run001"
"51","GBB","GGB",0,21,21,5,16,"run001"
"52","GBB","GGG",7,86,93,38,55,"run001"
"53","GBB","GGR",1,3,4,2,2,"run001"
"54","GBB","GRG",0,6,6,1,5,"run001"
"55","GBB","GRR",0,1,1,1,0,"run001"
"56","GBB","RBB",0,2,2,1,1,"run001"
"57","GBB","RBG",3,9,12,1,11,"run001"
"58","GBB","RBR",1,0,1,0,1,"run001"
"59","GBB","RGG",1,0,1,1,0,"run001"
"60","GBB","RGR",2,1,3,1,2,"run001"
"61","GBB","RRG",0,2,2,1,1,"run001"
"62","GBB","RRR",1,9,10,5,5,"run001"
"63","GBG","BBB",0,5,5,0,5,"run001"
"64","GBG","BBR",0,1,1,0,1,"run001"
"65","GBG","BRB",1,4,5,2,3,"run001"
"66","GBG","BRR",1,0,1,1,0,"run001"
"67","GBG","GGB",0,4,4,3,1,"run001"
"68","GBG","GGG",4,11,15,5,10,"run001"
"69","GBG","RBB",1,0,1,1,0,"run001"
"70","GBG","RBG",0,1,1,0,1,"run001"
"71","GBG","RGG",0,1,1,0,1,"run001"
"72","GBG","RGR",1,3,4,0,4,"run001"
"73","GBG","RRG",1,3,4,3,1,"run001"
"74","GGB","BBB",3,16,19,12,7,"run001"
"75","GGB","BBR",1,4,5,0,5,"run001"
"76","GGB","BGB",0,3,3,3,0,"run001"
"77","GGB","BGG",0,4,4,0,4,"run001"
"78","GGB","BRB",0,1,1,0,1,"run001"
"79","GGB","BRR",1,15,16,13,3,"run001"
"80","GGB","GBB",0,1,1,1,0,"run001"
"81","GGB","GBG",1,0,1,0,1,"run001"
"82","GGB","GGG",13,48,61,28,33,"run001"
"83","GGB","GGR",0,7,7,4,3,"run001"
"84","GGB","GRR",0,4,4,3,1,"run001"
"85","GGB","RBB",0,5,5,5,0,"run001"
"86","GGB","RBG",0,4,4,4,0,"run001"
"87","GGB","RBR",0,5,5,3,2,"run001"
"88","GGB","RGG",1,5,6,3,3,"run001"
"89","GGB","RGR",0,2,2,0,2,"run001"
"90","GGB","RRG",1,5,6,4,2,"run001"
"91","GGB","RRR",1,5,6,4,2,"run001"
"92","GGG","BBB",8,31,39,30,9,"run001"
"93","GGG","BGB",0,2,2,1,1,"run001"
"94","GGG","BGG",1,7,8,0,8,"run001"
"95","GGG","BRB",1,3,4,0,4,"run001"
"96","GGG","BRR",0,6,6,6,0,"run001"
"97","GGG","GGB",5,1,6,6,0,"run001"
"98","GGG","GGR",1,9,10,2,8,"run001"
"99","GGG","GRR",0,2,2,1,1,"run001"
"100","GGG","RBB",1,8,9,1,8,"run001"
"101","GGG","RBG",0,6,6,1,5,"run001"
"102","GGG","RBR",0,21,21,15,6,"run001"
"103","GGG","RGG",0,3,3,2,1,"run001"
"104","GGG","RGR",1,12,13,13,0,"run001"
"105","GGG","RRG",1,23,24,9,15,"run001"
"106","GGG","RRR",0,3,3,3,0,"run001"
"107","GGR","BBB",0,2,2,2,0,"run001"
"108","GGR","BBR",0,2,2,2,0,"run001"
"109","GGR","BGG",0,1,1,1,0,"run001"
"110","GGR","BRR",1,0,1,0,1,"run001"
"111","GGR","GRR",1,0,1,0,1,"run001"
"112","GGR","RBB",0,2,2,1,1,"run001"
"113","GRG","BBB",3,8,11,9,2,"run001"
"114","GRG","BBR",0,1,1,0,1,"run001"
"115","GRG","BGG",0,1,1,0,1,"run001"
"116","GRG","BRB",0,3,3,2,1,"run001"
"117","GRG","BRR",0,1,1,1,0,"run001"
"118","GRG","GBG",0,1,1,0,1,"run001"
"119","GRG","GGB",2,15,17,9,8,"run001"
"120","GRG","GGG",3,12,15,15,0,"run001"
"121","GRG","GGR",0,5,5,4,1,"run001"
"122","GRG","GRR",0,1,1,1,0,"run001"
"123","GRG","RBG",0,1,1,0,1,"run001"
"124","GRG","RBR",0,1,1,0,1,"run001"
"125","GRG","RGR",1,2,3,3,0,"run001"
"126","GRG","RRG",2,4,6,4,2,"run001"
"127","GRR","BBB",0,1,1,1,0,"run001"
"128","GRR","BBR",0,1,1,1,0,"run001"
"129","GRR","BGB",1,2,3,3,0,"run001"
"130","GRR","BGG",0,2,2,0,2,"run001"
"131","GRR","BRB",0,1,1,0,1,"run001"
"132","GRR","BRR",0,2,2,1,1,"run001"
"133","GRR","GGG",0,1,1,0,1,"run001"
"134","GRR","GGR",0,1,1,0,1,"run001"
"135","RBB","BBB",0,1,1,0,1,"run001"
"136","RBB","BBR",0,1,1,0,1,"run001"
"137","RBB","BRB",0,1,1,1,0,"run001"
"138","RBB","GRR",0,1,1,1,0,"run001"
"139","RBB","RGG",0,1,1,1,0,"run001"
"140","RBG","BBB",2,8,10,3,7,"run001"
"141","RBG","BBG",0,1,1,0,1,"run001"
"142","RBG","BRR",0,1,1,0,1,"run001"
"143","RBG","GBB",0,1,1,0,1,"run001"
"144","RBG","GRR",0,3,3,1,2,"run001"
"145","RBG","RBB",1,1,2,0,2,"run001"
"146","RBG","RBR",0,1,1,0,1,"run001"
"147","RBG","RGR",0,1,1,1,0,"run001"
"148","RBR","BBB",0,13,13,2,11,"run001"
"149","RBR","BBR",0,1,1,0,1,"run001"
"150","RBR","BGB",2,4,6,5,1,"run001"
"151","RBR","BGG",0,2,2,2,0,"run001"
"152","RBR","BRB",1,0,1,0,1,"run001"
"153","RBR","BRR",1,4,5,3,2,"run001"
"154","RBR","GGB",0,12,12,0,12,"run001"
"155","RBR","GRR",4,4,8,8,0,"run001"
"156","RBR","RBB",0,3,3,3,0,"run001"
"157","RBR","RGG",2,9,11,1,10,"run001"
"158","RBR","RGR",1,0,1,1,0,"run001"
"159","RBR","RRR",0,1,1,1,0,"run001"
"160","RGG","BBB",0,8,8,0,8,"run001"
"161","RGG","BBR",1,2,3,1,2,"run001"
"162","RGG","BGB",0,1,1,0,1,"run001"
"163","RGG","BRR",0,4,4,2,2,"run001"
"164","RGG","GGG",0,1,1,0,1,"run001"
"165","RGG","GGR",0,3,3,2,1,"run001"
"166","RGG","GRR",0,8,8,3,5,"run001"
"167","RGG","RBB",0,1,1,0,1,"run001"
"168","RGR","BBB",2,5,7,7,0,"run001"
"169","RGR","BBR",1,1,2,2,0,"run001"
"170","RGR","BGB",2,5,7,4,3,"run001"
"171","RGR","BGG",2,2,4,2,2,"run001"
"172","RGR","BRR",1,5,6,3,3,"run001"
"173","RGR","GGB",2,12,14,1,13,"run001"
"174","RGR","GGG",0,2,2,0,2,"run001"
"175","RGR","GGR",0,4,4,3,1,"run001"
"176","RGR","RBB",0,4,4,0,4,"run001"
"177","RGR","RGG",1,1,2,1,1,"run001"
"178","RGR","RRG",0,3,3,0,3,"run001"
"179","RRG","BBB",2,33,35,25,10,"run001"
"180","RRG","BBR",0,5,5,1,4,"run001"
"181","RRG","BGB",1,10,11,1,10,"run001"
"182","RRG","BGG",0,2,2,2,0,"run001"
"183","RRG","BRB",2,40,42,16,26,"run001"
"184","RRG","BRR",1,16,17,1,16,"run001"
"185","RRG","GGG",2,14,16,10,6,"run001"
"186","RRG","GGR",0,5,5,2,3,"run001"
"187","RRG","GRG",1,0,1,0,1,"run001"
"188","RRG","GRR",3,8,11,2,9,"run001"
"189","RRG","RBB",1,1,2,0,2,"run001"
"190","RRG","RGG",0,1,1,0,1,"run001"
"191","RRG","RGR",0,1,1,1,0,"run001"
"192","RRR","BBR",1,0,1,1,0,"run001"
"193","RRR","BGB",2,1,3,0,3,"run001"
"194","RRR","BGG",1,0,1,1,0,"run001"
"195","RRR","BRB",1,1,2,1,1,"run001"
"196","RRR","BRR",1,1,2,1,1,"run001"
"197","RRR","GGR",0,1,1,0,1,"run001"
"198","RRR","GRR",0,3,3,3,0,"run001"
"199","RRR","RBB",1,2,3,0,3,"run001"
"200","RRR","RBR",0,2,2,0,2,"run001"
"201","RRR","RGG",0,1,1,1,0,"run001"
"202","RRR","RGR",1,2,3,0,3,"run001"
"203","RRR","RRG",2,2,4,4,0,"run001"
"204","BBB","BRB",0,1,1,0,1,"run002"
"205","BBB","GGG",1,2,3,2,1,"run002"
"206","BBB","GRR",0,2,2,1,1,"run002"
"207","BBB","RBG",0,1,1,1,0,"run002"
"208","BBB","RRG",1,3,4,0,4,"run002"
"209","BBB","RRR",0,2,2,0,2,"run002"
"210","BBG","BBB",1,4,5,0,5,"run002"
"211","BBG","BGB",0,1,1,1,0,"run002"
"212","BBG","BGG",0,1,1,0,1,"run002"
"213","BBG","BRB",1,16,17,8,9,"run002"
"214","BBG","GBB",0,1,1,1,0,"run002"
"215","BBG","GBG",2,7,9,0,9,"run002"
"216","BBG","GGB",2,25,27,2,25,"run002"
"217","BBG","GGG",4,38,42,15,27,"run002"
"218","BBG","GRG",1,9,10,1,9,"run002"
"219","BBG","GRR",0,1,1,0,1,"run002"
"220","BBG","RBB",0,1,1,0,1,"run002"
"221","BBG","RBG",0,4,4,0,4,"run002"
"222","BBG","RBR",0,1,1,1,0,"run002"
"223","BBG","RGR",0,1,1,0,1,"run002"
"224","BBG","RRG",1,2,3,3,0,"run002"
"225","BBG","RRR",0,7,7,3,4,"run002"
"226","BGB","BBB",0,2,2,2,0,"run002"
"227","BGB","RRG",0,1,1,1,0,"run002"
"228","BGG","BBB",0,3,3,0,3,"run002"
"229","BGG","BBR",0,1,1,1,0,"run002"
"230","BGG","GRG",0,1,1,1,0,"run002"
"231","BGG","RBG",1,1,2,0,2,"run002"
"232","BGG","RGG",0,3,3,1,2,"run002"
"233","BGG","RGR",0,1,1,1,0,"run002"
"234","BGG","RRR",1,1,2,1,1,"run002"
"235","BRB","BBB",0,13,13,2,11,"run002"
"236","BRB","BBR",0,1,1,0,1,"run002"
"237","BRB","BRR",0,3,3,2,1,"run002"
"238","BRB","GGG",0,1,1,1,0,"run002"
"239","BRB","GGR",0,1,1,0,1,"run002"
"240","BRB","RBB",0,1,1,0,1,"run002"
"241","BRB","RBG",0,1,1,1,0,"run002"
"242","BRB","RGR",0,1,1,1,0,"run002"
"243","BRB","RRR",0,1,1,1,0,"run002"
"244","BRR","BBB",0,11,11,6,5,"run002"
"245","BRR","BGB",1,1,2,1,1,"run002"
"246","BRR","BGG",0,1,1,0,1,"run002"
"247","BRR","BRB",0,1,1,1,0,"run002"
"248","BRR","RBB",0,2,2,2,0,"run002"
"249","GBB","BBB",12,38,50,0,50,"run002"
"250","GBB","BGG",0,1,1,0,1,"run002"
"251","GBB","BRB",1,9,10,8,2,"run002"
"252","GBB","BRR",1,3,4,4,0,"run002"
"253","GBB","GBG",0,4,4,0,4,"run002"
"254","GBB","GGB",0,21,21,17,4,"run002"
